,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,BCSSA017521,MEXICALI,BAJA CALIFORNIA,BSSSA000811,COMONDÚ,BAJA CALIFORNIA SUR,"1,150 km",1150137,16 hours 40 mins,60024
1,BCSSA017521,MEXICALI,BAJA CALIFORNIA,BSSSA000840,MULEGÉ,BAJA CALIFORNIA SUR,804 km,804144,11 hours 41 mins,42059
2,BCSSA017521,MEXICALI,BAJA CALIFORNIA,BSSSA000893,LA PAZ,BAJA CALIFORNIA SUR,"1,360 km",1359505,19 hours 12 mins,69123
3,BCSSA017521,MEXICALI,BAJA CALIFORNIA,BSSSA000905,LA PAZ,BAJA CALIFORNIA SUR,"1,357 km",1357383,19 hours 10 mins,68976
4,BCSSA017521,MEXICALI,BAJA CALIFORNIA,BSSSA000922,LOS CABOS,BAJA CALIFORNIA SUR,"1,535 km",1534641,21 hours 9 mins,76166
5,BCSSA017533,TIJUANA,BAJA CALIFORNIA,BSSSA000811,COMONDÚ,BAJA CALIFORNIA SUR,"1,318 km",1318181,18 hours 37 mins,66993
6,BCSSA017533,TIJUANA,BAJA CALIFORNIA,BSSSA000840,MULEGÉ,BAJA CALIFORNIA SUR,972 km,972189,13 hours 37 mins,49028
7,BCSSA017533,TIJUANA,BAJA CALIFORNIA,BSSSA000893,LA PAZ,BAJA CALIFORNIA SUR,"1,528 km",1527550,21 hours 8 mins,76092
8,BCSSA017533,TIJUANA,BAJA CALIFORNIA,BSSSA000905,LA PAZ,BAJA CALIFORNIA SUR,"1,525 km",1525428,21 hours 6 mins,75946
9,BCSSA017533,TIJUANA,BAJA CALIFORNIA,BSSSA000922,LOS CABOS,BAJA CALIFORNIA SUR,"1,703 km",1702686,23 hours 6 mins,83136
10,BCSSA017545,ENSENADA,BAJA CALIFORNIA,BSSSA000811,COMONDÚ,BAJA CALIFORNIA SUR,"1,161 km",1161217,17 hours 47 mins,64042
11,BCSSA017545,ENSENADA,BAJA CALIFORNIA,BSSSA000840,MULEGÉ,BAJA CALIFORNIA SUR,815 km,815224,12 hours 48 mins,46077
12,BCSSA017545,ENSENADA,BAJA CALIFORNIA,BSSSA000893,LA PAZ,BAJA CALIFORNIA SUR,"1,371 km",1370586,20 hours 19 mins,73141
13,BCSSA017545,ENSENADA,BAJA CALIFORNIA,BSSSA000905,LA PAZ,BAJA CALIFORNIA SUR,"1,368 km",1368463,20 hours 17 mins,72994
14,BCSSA017545,ENSENADA,BAJA CALIFORNIA,BSSSA000922,LOS CABOS,BAJA CALIFORNIA SUR,"1,546 km",1545721,22 hours 16 mins,80184
15,BCSSA018051,MEXICALI,BAJA CALIFORNIA,BSSSA000811,COMONDÚ,BAJA CALIFORNIA SUR,"1,149 km",1149286,16 hours 40 mins,60019
16,BCSSA018051,MEXICALI,BAJA CALIFORNIA,BSSSA000840,MULEGÉ,BAJA CALIFORNIA SUR,803 km,803293,11 hours 41 mins,42054
17,BCSSA018051,MEXICALI,BAJA CALIFORNIA,BSSSA000893,LA PAZ,BAJA CALIFORNIA SUR,"1,359 km",1358654,19 hours 12 mins,69118
18,BCSSA018051,MEXICALI,BAJA CALIFORNIA,BSSSA000905,LA PAZ,BAJA CALIFORNIA SUR,"1,357 km",1356532,19 hours 10 mins,68972
19,BCSSA018051,MEXICALI,BAJA CALIFORNIA,BSSSA000922,LOS CABOS,BAJA CALIFORNIA SUR,"1,534 km",1533790,21 hours 9 mins,76162
