,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,72.7 km,72694,58 mins,3495
1,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017503,HERMOSILLO,SONORA,702 km,702322,8 hours 8 mins,29293
2,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017520,HERMOSILLO,SONORA,702 km,702344,8 hours 8 mins,29295
3,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017544,HERMOSILLO,SONORA,698 km,697997,8 hours 3 mins,28967
4,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017561,CABORCA,SONORA,422 km,422009,4 hours 59 mins,17968
5,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017585,SANTA ANA,SONORA,527 km,527326,6 hours 11 mins,22262
6,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017626,CAJEME,SONORA,955 km,954693,10 hours 40 mins,38387
7,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017643,NAVOJOA,SONORA,"1,023 km",1023123,11 hours 16 mins,40579
8,BCSSA017521,MEXICALI,BAJA CALIFORNIA,SRSSA017655,NAVOJOA,SONORA,"1,026 km",1026478,11 hours 24 mins,41056
9,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,240 km,240259,2 hours 53 mins,10365
10,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017503,HERMOSILLO,SONORA,870 km,869887,10 hours 3 mins,36162
11,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017520,HERMOSILLO,SONORA,870 km,869909,10 hours 3 mins,36164
12,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017544,HERMOSILLO,SONORA,866 km,865562,9 hours 57 mins,35837
13,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017561,CABORCA,SONORA,590 km,589574,6 hours 54 mins,24837
14,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017585,SANTA ANA,SONORA,695 km,694891,8 hours 6 mins,29131
15,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017626,CAJEME,SONORA,"1,122 km",1122258,12 hours 34 mins,45257
16,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017643,NAVOJOA,SONORA,"1,191 km",1190688,13 hours 11 mins,47448
17,BCSSA017533,TIJUANA,BAJA CALIFORNIA,SRSSA017655,NAVOJOA,SONORA,"1,194 km",1194043,13 hours 19 mins,47925
18,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,306 km,305683,3 hours 46 mins,13576
19,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017503,HERMOSILLO,SONORA,935 km,935312,10 hours 56 mins,39374
20,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017520,HERMOSILLO,SONORA,935 km,935334,10 hours 56 mins,39376
21,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017544,HERMOSILLO,SONORA,931 km,930987,10 hours 51 mins,39048
22,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017561,CABORCA,SONORA,655 km,654999,7 hours 47 mins,28049
23,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017585,SANTA ANA,SONORA,760 km,760316,8 hours 59 mins,32342
24,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017626,CAJEME,SONORA,"1,188 km",1187682,13 hours 28 mins,48468
25,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017643,NAVOJOA,SONORA,"1,256 km",1256113,14 hours 4 mins,50660
26,BCSSA017545,ENSENADA,BAJA CALIFORNIA,SRSSA017655,NAVOJOA,SONORA,"1,259 km",1259468,14 hours 12 mins,51136
27,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,64.1 km,64058,55 mins,3286
28,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017503,HERMOSILLO,SONORA,694 km,693686,8 hours 5 mins,29083
29,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017520,HERMOSILLO,SONORA,694 km,693709,8 hours 5 mins,29085
30,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017544,HERMOSILLO,SONORA,689 km,689362,7 hours 59 mins,28758
31,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017561,CABORCA,SONORA,413 km,413374,4 hours 56 mins,17758
32,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017585,SANTA ANA,SONORA,519 km,518691,6 hours 8 mins,22052
33,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017626,CAJEME,SONORA,946 km,946057,10 hours 36 mins,38178
34,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017643,NAVOJOA,SONORA,"1,014 km",1014488,11 hours 13 mins,40369
35,BCSSA018051,MEXICALI,BAJA CALIFORNIA,SRSSA017655,NAVOJOA,SONORA,"1,018 km",1017842,11 hours 21 mins,40846
