,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,CCSSA017345,CAMPECHE,CAMPECHE,QRSSA017564,OTHÓN P. BLANCO,QUINTANA ROO,415 km,414726,5 hours 40 mins,20424
1,CCSSA017345,CAMPECHE,CAMPECHE,QRSSA017605,BENITO JUÁREZ,QUINTANA ROO,476 km,476215,5 hours 26 mins,19567
2,CCSSA017345,CAMPECHE,CAMPECHE,QRSSA017622,FELIPE CARRILLO PUERTO,QUINTANA ROO,374 km,374116,5 hours 19 mins,19127
3,CCSSA017350,CAMPECHE,CAMPECHE,QRSSA017564,OTHÓN P. BLANCO,QUINTANA ROO,415 km,414726,5 hours 40 mins,20424
4,CCSSA017350,CAMPECHE,CAMPECHE,QRSSA017605,BENITO JUÁREZ,QUINTANA ROO,476 km,476215,5 hours 26 mins,19567
5,CCSSA017350,CAMPECHE,CAMPECHE,QRSSA017622,FELIPE CARRILLO PUERTO,QUINTANA ROO,374 km,374116,5 hours 19 mins,19127
6,CCSSA017362,ESCÁRCEGA,CAMPECHE,QRSSA017564,OTHÓN P. BLANCO,QUINTANA ROO,267 km,267125,3 hours 40 mins,13207
7,CCSSA017362,ESCÁRCEGA,CAMPECHE,QRSSA017605,BENITO JUÁREZ,QUINTANA ROO,623 km,622590,7 hours 16 mins,26178
8,CCSSA017362,ESCÁRCEGA,CAMPECHE,QRSSA017622,FELIPE CARRILLO PUERTO,QUINTANA ROO,387 km,387194,5 hours 8 mins,18508
9,CCSSA017374,CARMEN,CAMPECHE,QRSSA017564,OTHÓN P. BLANCO,QUINTANA ROO,430 km,430147,5 hours 58 mins,21482
10,CCSSA017374,CARMEN,CAMPECHE,QRSSA017605,BENITO JUÁREZ,QUINTANA ROO,682 km,682382,8 hours 5 mins,29110
11,CCSSA017374,CARMEN,CAMPECHE,QRSSA017622,FELIPE CARRILLO PUERTO,QUINTANA ROO,550 km,550217,7 hours 26 mins,26783
