,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,CHSSA017441,CHIHUAHUA,CHIHUAHUA,DGSSA017144,DURANGO,DURANGO,683 km,683240,7 hours 32 mins,27148
1,CHSSA017441,CHIHUAHUA,CHIHUAHUA,DGSSA017156,DURANGO,DURANGO,685 km,685381,7 hours 36 mins,27350
2,CHSSA017441,CHIHUAHUA,CHIHUAHUA,DGSSA017161,GÓMEZ PALACIO,DURANGO,461 km,461430,5 hours 24 mins,19436
3,CHSSA017441,CHIHUAHUA,CHIHUAHUA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,563 km,562556,7 hours 39 mins,27565
4,CHSSA017441,CHIHUAHUA,CHIHUAHUA,DGSSA017185,RODEO,DURANGO,480 km,479588,5 hours 39 mins,20334
5,CHSSA017511,OJINAGA,CHIHUAHUA,DGSSA017144,DURANGO,DURANGO,771 km,770732,8 hours 28 mins,30462
6,CHSSA017511,OJINAGA,CHIHUAHUA,DGSSA017156,DURANGO,DURANGO,773 km,772874,8 hours 31 mins,30664
7,CHSSA017511,OJINAGA,CHIHUAHUA,DGSSA017161,GÓMEZ PALACIO,DURANGO,549 km,548922,6 hours 19 mins,22749
8,CHSSA017511,OJINAGA,CHIHUAHUA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,718 km,718356,9 hours 29 mins,34148
9,CHSSA017511,OJINAGA,CHIHUAHUA,DGSSA017185,RODEO,DURANGO,635 km,635388,7 hours 29 mins,26917
10,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,DGSSA017144,DURANGO,DURANGO,412 km,411796,5 hours 25 mins,19502
11,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,DGSSA017156,DURANGO,DURANGO,411 km,410721,5 hours 23 mins,19407
12,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,DGSSA017161,GÓMEZ PALACIO,DURANGO,319 km,318781,3 hours 40 mins,13205
13,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,337 km,337286,5 hours 11 mins,18650
14,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,DGSSA017185,RODEO,DURANGO,254 km,254318,3 hours 10 mins,11419
15,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,DGSSA017144,DURANGO,DURANGO,828 km,827983,10 hours 12 mins,36708
16,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,DGSSA017156,DURANGO,DURANGO,827 km,826907,10 hours 10 mins,36606
17,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,DGSSA017161,GÓMEZ PALACIO,DURANGO,733 km,732901,8 hours 25 mins,30285
18,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,753 km,753472,9 hours 57 mins,35849
19,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,DGSSA017185,RODEO,DURANGO,671 km,670504,7 hours 57 mins,28618
20,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,DGSSA017144,DURANGO,DURANGO,981 km,981304,10 hours 42 mins,38512
21,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,DGSSA017156,DURANGO,DURANGO,983 km,983445,10 hours 45 mins,38714
22,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,DGSSA017161,GÓMEZ PALACIO,DURANGO,759 km,759494,8 hours 33 mins,30799
23,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,850 km,850260,10 hours 51 mins,39065
24,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,DGSSA017185,RODEO,DURANGO,767 km,767292,8 hours 51 mins,31834
25,CHSSA017651,BOCOYNA,CHIHUAHUA,DGSSA017144,DURANGO,DURANGO,815 km,815154,10 hours 20 mins,37220
26,CHSSA017651,BOCOYNA,CHIHUAHUA,DGSSA017156,DURANGO,DURANGO,814 km,814078,10 hours 19 mins,37118
27,CHSSA017651,BOCOYNA,CHIHUAHUA,DGSSA017161,GÓMEZ PALACIO,DURANGO,720 km,720072,8 hours 33 mins,30796
28,CHSSA017651,BOCOYNA,CHIHUAHUA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,741 km,740643,10 hours 6 mins,36361
29,CHSSA017651,BOCOYNA,CHIHUAHUA,DGSSA017185,RODEO,DURANGO,658 km,657675,8 hours 6 mins,29130
