,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA002590,CULIACÁN,SINALOA,"1,132 km",1131554,12 hours 39 mins,45525
1,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA017320,CHOIX,SINALOA,526 km,525566,12 hours 26 mins,44734
2,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA017344,SINALOA,SINALOA,"1,298 km",1297693,14 hours 43 mins,52970
3,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA017373,SALVADOR ALVARADO,SINALOA,"1,240 km",1239660,13 hours 48 mins,49686
4,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA017414,BADIRAGUATO,SINALOA,"1,216 km",1216078,13 hours 59 mins,50313
5,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA017426,COSALÁ,SINALOA,"1,087 km",1087207,12 hours 50 mins,46189
6,CHSSA017441,CHIHUAHUA,CHIHUAHUA,SLSSA017431,CULIACÁN,SINALOA,"1,140 km",1140206,12 hours 54 mins,46446
7,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA002590,CULIACÁN,SINALOA,"1,219 km",1219046,13 hours 34 mins,48839
8,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA017320,CHOIX,SINALOA,763 km,763419,15 hours 4 mins,54217
9,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA017344,SINALOA,SINALOA,"1,385 km",1385185,15 hours 38 mins,56284
10,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA017373,SALVADOR ALVARADO,SINALOA,"1,327 km",1327152,14 hours 43 mins,53000
11,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA017414,BADIRAGUATO,SINALOA,"1,304 km",1303570,14 hours 54 mins,53626
12,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA017426,COSALÁ,SINALOA,"1,175 km",1174699,13 hours 45 mins,49503
13,CHSSA017511,OJINAGA,CHIHUAHUA,SLSSA017431,CULIACÁN,SINALOA,"1,228 km",1227699,13 hours 49 mins,49759
14,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA002590,CULIACÁN,SINALOA,852 km,851895,10 hours 25 mins,37512
15,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA017320,CHOIX,SINALOA,459 km,459284,11 hours 52 mins,42746
16,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA017344,SINALOA,SINALOA,"1,018 km",1018035,12 hours 29 mins,44957
17,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA017373,SALVADOR ALVARADO,SINALOA,960 km,960002,11 hours 35 mins,41673
18,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA017414,BADIRAGUATO,SINALOA,936 km,936420,11 hours 45 mins,42300
19,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA017426,COSALÁ,SINALOA,808 km,807549,10 hours 36 mins,38176
20,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,SLSSA017431,CULIACÁN,SINALOA,861 km,860548,10 hours 41 mins,38432
21,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA002590,CULIACÁN,SINALOA,"1,268 km",1268081,15 hours 12 mins,54711
22,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA017320,CHOIX,SINALOA,525 km,525078,12 hours 21 mins,44440
23,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA017344,SINALOA,SINALOA,934 km,934261,14 hours 52 mins,53541
24,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA017373,SALVADOR ALVARADO,SINALOA,935 km,934780,14 hours 41 mins,52842
25,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA017414,BADIRAGUATO,SINALOA,"1,031 km",1031064,15 hours 59 mins,57541
26,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA017426,COSALÁ,SINALOA,"1,224 km",1223735,15 hours 23 mins,55375
27,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,SLSSA017431,CULIACÁN,SINALOA,"1,277 km",1276734,15 hours 27 mins,55632
28,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA002590,CULIACÁN,SINALOA,"1,289 km",1288917,15 hours 7 mins,54445
29,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA017320,CHOIX,SINALOA,"1,130 km",1130400,13 hours 43 mins,49353
30,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA017344,SINALOA,SINALOA,"1,180 km",1180448,14 hours 18 mins,51456
31,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA017373,SALVADOR ALVARADO,SINALOA,"1,181 km",1180967,14 hours 6 mins,50757
32,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA017414,BADIRAGUATO,SINALOA,"1,277 km",1277251,15 hours 24 mins,55455
33,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA017426,COSALÁ,SINALOA,"1,385 km",1385271,15 hours 59 mins,57553
34,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,SLSSA017431,CULIACÁN,SINALOA,"1,289 km",1288620,15 hours 26 mins,55561
35,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA002590,CULIACÁN,SINALOA,600 km,599996,12 hours 47 mins,46015
36,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA017320,CHOIX,SINALOA,263 km,262594,8 hours 42 mins,31346
37,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA017344,SINALOA,SINALOA,423 km,423343,10 hours 52 mins,39108
38,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA017373,SALVADOR ALVARADO,SINALOA,492 km,492046,11 hours 45 mins,42328
39,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA017414,BADIRAGUATO,SINALOA,588 km,588330,13 hours 4 mins,47026
40,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA017426,COSALÁ,SINALOA,"1,211 km",1210906,15 hours 31 mins,55887
41,CHSSA017651,BOCOYNA,CHIHUAHUA,SLSSA017431,CULIACÁN,SINALOA,600 km,599698,13 hours 6 mins,47131
