,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,MSSSA002234,JIUTEPEC,MORELOS,108 km,107503,1 hour 38 mins,5859
1,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,MSSSA002251,CUERNAVACA,MORELOS,106 km,105816,1 hour 36 mins,5775
2,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,MSSSA002275,JOJUTLA,MORELOS,142 km,141759,2 hours 10 mins,7813
3,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,MSSSA002292,CUAUTLA,MORELOS,109 km,109442,1 hour 58 mins,7093
4,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,MSSSA002234,JIUTEPEC,MORELOS,88.6 km,88647,1 hour 16 mins,4536
5,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,MSSSA002251,CUERNAVACA,MORELOS,87.0 km,86960,1 hour 14 mins,4451
6,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,MSSSA002275,JOJUTLA,MORELOS,123 km,122902,1 hour 48 mins,6489
7,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,MSSSA002292,CUAUTLA,MORELOS,104 km,104085,1 hour 36 mins,5781
8,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,MSSSA002234,JIUTEPEC,MORELOS,93.6 km,93564,1 hour 25 mins,5091
9,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,MSSSA002251,CUERNAVACA,MORELOS,91.9 km,91877,1 hour 23 mins,5006
10,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,MSSSA002275,JOJUTLA,MORELOS,128 km,127819,1 hour 57 mins,7044
11,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,MSSSA002292,CUAUTLA,MORELOS,91.2 km,91205,1 hour 40 mins,6015
12,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,MSSSA002234,JIUTEPEC,MORELOS,97.5 km,97460,1 hour 35 mins,5695
13,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,MSSSA002251,CUERNAVACA,MORELOS,95.8 km,95773,1 hour 34 mins,5610
14,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,MSSSA002275,JOJUTLA,MORELOS,132 km,131716,2 hours 7 mins,7648
15,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,MSSSA002292,CUAUTLA,MORELOS,113 km,112899,1 hour 56 mins,6940
