,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,DGSSA017144,DURANGO,DURANGO,ZSSSA012504,GUADALUPE,ZACATECAS,297 km,297328,3 hours 32 mins,12731
1,DGSSA017144,DURANGO,DURANGO,ZSSSA012545,ZACATECAS,ZACATECAS,286 km,286190,3 hours 23 mins,12165
2,DGSSA017144,DURANGO,DURANGO,ZSSSA012562,OJOCALIENTE,ZACATECAS,333 km,332657,4 hours 0 mins,14398
3,DGSSA017144,DURANGO,DURANGO,ZSSSA012586,FRESNILLO,ZACATECAS,228 km,227539,2 hours 47 mins,10035
4,DGSSA017144,DURANGO,DURANGO,ZSSSA012603,RÍO GRANDE,ZACATECAS,217 km,216852,2 hours 45 mins,9916
5,DGSSA017144,DURANGO,DURANGO,ZSSSA012620,JALPA,ZACATECAS,432 km,432144,5 hours 26 mins,19570
6,DGSSA017144,DURANGO,DURANGO,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,406 km,405655,5 hours 16 mins,18973
7,DGSSA017144,DURANGO,DURANGO,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,486 km,486432,5 hours 44 mins,20621
8,DGSSA017156,DURANGO,DURANGO,ZSSSA012504,GUADALUPE,ZACATECAS,298 km,297859,3 hours 32 mins,12744
9,DGSSA017156,DURANGO,DURANGO,ZSSSA012545,ZACATECAS,ZACATECAS,287 km,286720,3 hours 23 mins,12178
10,DGSSA017156,DURANGO,DURANGO,ZSSSA012562,OJOCALIENTE,ZACATECAS,333 km,333188,4 hours 0 mins,14410
11,DGSSA017156,DURANGO,DURANGO,ZSSSA012586,FRESNILLO,ZACATECAS,228 km,228070,2 hours 47 mins,10048
12,DGSSA017156,DURANGO,DURANGO,ZSSSA012603,RÍO GRANDE,ZACATECAS,217 km,217383,2 hours 45 mins,9928
13,DGSSA017156,DURANGO,DURANGO,ZSSSA012620,JALPA,ZACATECAS,433 km,432675,5 hours 26 mins,19583
14,DGSSA017156,DURANGO,DURANGO,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,406 km,406186,5 hours 16 mins,18985
15,DGSSA017156,DURANGO,DURANGO,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,487 km,486963,5 hours 44 mins,20634
