,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA002744,CORREGIDORA,QUERETARO,147 km,146996,1 hour 48 mins,6489
1,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA012096,QUERÉTARO,QUERETARO,147 km,147193,1 hour 51 mins,6641
2,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA012101,QUERÉTARO,QUERETARO,157 km,156540,1 hour 56 mins,6975
3,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA012130,QUERÉTARO,QUERETARO,157 km,156540,1 hour 56 mins,6975
4,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,203 km,202846,2 hours 31 mins,9074
5,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,218 km,217791,2 hours 44 mins,9847
6,GTSSA016575,GUANAJUATO,GUANAJUATO,QTSSA012236,JALPAN DE SERRA,QUERETARO,335 km,334862,5 hours 0 mins,17995
7,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA002744,CORREGIDORA,QUERETARO,91.7 km,91720,1 hour 6 mins,3958
8,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA012096,QUERÉTARO,QUERETARO,91.9 km,91917,1 hour 9 mins,4111
9,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA012101,QUERÉTARO,QUERETARO,101 km,101264,1 hour 14 mins,4444
10,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA012130,QUERÉTARO,QUERETARO,101 km,101264,1 hour 14 mins,4444
11,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,148 km,147570,1 hour 49 mins,6544
12,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,163 km,162514,2 hours 2 mins,7317
13,GTSSA016580,SALAMANCA,GUANAJUATO,QTSSA012236,JALPAN DE SERRA,QUERETARO,280 km,279585,4 hours 18 mins,15465
