,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,983 km,982967,13 hours 39 mins,49166
1,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,489 km,488807,8 hours 6 mins,29167
2,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,746 km,745783,10 hours 11 mins,36660
3,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,725 km,724613,9 hours 40 mins,34804
4,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,984 km,983528,13 hours 40 mins,49211
5,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,702 km,701870,9 hours 59 mins,35949
6,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,759 km,759048,12 hours 33 mins,45161
7,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,491 km,491374,8 hours 13 mins,29583
8,GRSSA011560,TLAPEHUALA,GUERRERO,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,757 km,756997,10 hours 20 mins,37185
9,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,819 km,819138,10 hours 47 mins,38810
10,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,325 km,324977,5 hours 14 mins,18811
