,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA000352,ACULCO,MEXICO,166 km,165874,2 hours 16 mins,8185
1,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,252 km,251844,3 hours 51 mins,13877
2,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA003176,JILOTEPEC,MEXICO,129 km,129455,1 hour 44 mins,6228
3,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA004832,OTZOLOAPAN,MEXICO,274 km,273774,4 hours 32 mins,16317
4,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA004996,POLOTITLÁN,MEXICO,152 km,152455,1 hour 57 mins,7047
5,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA005066,RAYÓN,MEXICO,162 km,162025,2 hours 28 mins,8851
6,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA008566,ZACAZONAPAN,MEXICO,260 km,260077,4 hours 25 mins,15872
7,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015304,ATLACOMULCO,MEXICO,164 km,164472,2 hours 4 mins,7443
8,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015333,JILOTEPEC,MEXICO,122 km,122330,1 hour 45 mins,6299
9,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015350,TENANGO DEL VALLE,MEXICO,168 km,167783,2 hours 35 mins,9303
10,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015490,TOLUCA,MEXICO,152 km,151908,2 hours 20 mins,8420
11,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015502,TOLUCA,MEXICO,148 km,147880,2 hours 19 mins,8328
12,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015572,TULTITLÁN,MEXICO,93.7 km,93731,1 hour 24 mins,5045
13,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015601,OTUMBA,MEXICO,59.3 km,59315,1 hour 0 mins,3575
14,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015630,AMECAMECA,MEXICO,148 km,147907,2 hours 4 mins,7469
15,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,93.7 km,93739,1 hour 23 mins,5009
16,HGSSA015492,PACHUCA DE SOTO,HIDALGO,MCSSA018371,TOLUCA,MEXICO,146 km,146364,2 hours 15 mins,8072
