,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA006306,CUAUTLANCINGO,PUEBLA,137 km,136667,1 hour 46 mins,6358
1,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014794,HUAUCHINANGO,PUEBLA,104 km,103903,1 hour 29 mins,5366
2,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014806,CHIGNAHUAPAN,PUEBLA,118 km,118053,1 hour 42 mins,6110
3,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014811,ZACAPOAXTLA,PUEBLA,251 km,250795,3 hours 18 mins,11908
4,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014823,ZACAPOAXTLA,PUEBLA,251 km,250795,3 hours 18 mins,11908
5,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,198 km,198092,2 hours 31 mins,9088
6,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014840,HUEJOTZINGO,PUEBLA,132 km,131807,1 hour 42 mins,6118
7,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014852,PUEBLA,PUEBLA,151 km,150619,2 hours 7 mins,7638
8,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014864,PUEBLA,PUEBLA,151 km,150619,2 hours 7 mins,7638
9,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014876,PUEBLA,PUEBLA,151 km,150619,2 hours 7 mins,7638
10,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,213 km,213282,2 hours 53 mins,10399
11,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014893,ACATLÁN,PUEBLA,301 km,300871,4 hours 38 mins,16679
12,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,243 km,242970,3 hours 31 mins,12647
13,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,243 km,242970,3 hours 31 mins,12647
14,HGSSA015492,PACHUCA DE SOTO,HIDALGO,PLSSA014922,TEHUACÁN,PUEBLA,271 km,270554,3 hours 15 mins,11700
