,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,JCSSA003670,MEZQUITIC,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,284 km,284039,4 hours 6 mins,14771
1,JCSSA003670,MEZQUITIC,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,288 km,287936,4 hours 6 mins,14783
2,JCSSA003670,MEZQUITIC,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,249 km,248916,3 hours 35 mins,12915
3,JCSSA003670,MEZQUITIC,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,278 km,277849,4 hours 22 mins,15701
4,JCSSA008063,AMECA,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,322 km,322250,4 hours 4 mins,14657
5,JCSSA008063,AMECA,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,306 km,306065,3 hours 54 mins,14037
6,JCSSA008063,AMECA,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,346 km,346452,4 hours 26 mins,15956
7,JCSSA008063,AMECA,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,351 km,350693,4 hours 15 mins,15327
8,JCSSA012771,ZAPOPAN,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,250 km,250274,3 hours 10 mins,11382
9,JCSSA012771,ZAPOPAN,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,234 km,234089,2 hours 59 mins,10762
10,JCSSA012771,ZAPOPAN,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,274 km,274476,3 hours 31 mins,12681
11,JCSSA012771,ZAPOPAN,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,200 km,199907,3 hours 20 mins,12011
12,JCSSA012783,COLOTLÁN,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,240 km,240311,3 hours 20 mins,12010
13,JCSSA012783,COLOTLÁN,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,244 km,244208,3 hours 20 mins,12021
14,JCSSA012783,COLOTLÁN,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,205 km,205188,2 hours 49 mins,10154
15,JCSSA012783,COLOTLÁN,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,152 km,152430,2 hours 40 mins,9628
16,JCSSA012795,LAGOS DE MORENO,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,106 km,106096,1 hour 32 mins,5505
17,JCSSA012795,LAGOS DE MORENO,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,89.9 km,89911,1 hour 21 mins,4886
18,JCSSA012795,LAGOS DE MORENO,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,130 km,130298,1 hour 53 mins,6805
19,JCSSA012795,LAGOS DE MORENO,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,135 km,134539,1 hour 43 mins,6176
20,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,168 km,168154,2 hours 8 mins,7703
21,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,152 km,151969,1 hour 58 mins,7084
22,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,192 km,192356,2 hours 30 mins,9003
23,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,197 km,196598,2 hours 20 mins,8374
24,JCSSA012812,LA BARCA,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,232 km,231952,3 hours 11 mins,11449
25,JCSSA012812,LA BARCA,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,216 km,215767,3 hours 0 mins,10829
26,JCSSA012812,LA BARCA,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,256 km,256154,3 hours 32 mins,12749
27,JCSSA012812,LA BARCA,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,260 km,260396,3 hours 22 mins,12119
28,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,400 km,399967,4 hours 55 mins,17674
29,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,384 km,383782,4 hours 44 mins,17054
30,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,424 km,424169,5 hours 16 mins,18973
31,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,428 km,428411,5 hours 6 mins,18344
32,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,365 km,364608,4 hours 14 mins,15221
33,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,348 km,348423,4 hours 3 mins,14601
34,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,389 km,388810,4 hours 35 mins,16520
35,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,393 km,393052,4 hours 25 mins,15891
36,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,428 km,427811,5 hours 42 mins,20509
37,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,412 km,411626,5 hours 31 mins,19889
38,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,452 km,452013,6 hours 3 mins,21808
39,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,456 km,456255,5 hours 53 mins,21179
40,JCSSA012853,PUERTO VALLARTA,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,565 km,565467,7 hours 34 mins,27243
41,JCSSA012853,PUERTO VALLARTA,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,549 km,549282,7 hours 24 mins,26623
42,JCSSA012853,PUERTO VALLARTA,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,590 km,589669,7 hours 56 mins,28542
43,JCSSA012853,PUERTO VALLARTA,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,594 km,593911,7 hours 45 mins,27913
44,JCSSA012865,AMECA,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,320 km,319793,4 hours 1 min,14477
45,JCSSA012865,AMECA,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,304 km,303608,3 hours 51 mins,13857
46,JCSSA012865,AMECA,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,344 km,343995,4 hours 23 mins,15776
47,JCSSA012865,AMECA,JALISCO,ASSSA000960,CALVILLO,AGUASCALIENTES,348 km,348237,4 hours 12 mins,15147
48,JCSSA012870,ZAPOPAN,JALISCO,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,248 km,248273,3 hours 5 mins,11101
49,JCSSA012870,ZAPOPAN,JALISCO,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,232 km,232088,2 hours 55 mins,10481
50,JCSSA012870,ZAPOPAN,JALISCO,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,272 km,272475,3 hours 27 mins,12400
