,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,JCSSA003670,MEZQUITIC,JALISCO,CMSSA010450,COLIMA,COLIMA,507 km,507148,7 hours 39 mins,27528
1,JCSSA008063,AMECA,JALISCO,CMSSA010450,COLIMA,COLIMA,230 km,229803,2 hours 59 mins,10724
2,JCSSA012771,ZAPOPAN,JALISCO,CMSSA010450,COLIMA,COLIMA,199 km,199154,2 hours 36 mins,9353
3,JCSSA012783,COLOTLÁN,JALISCO,CMSSA010450,COLIMA,COLIMA,400 km,399914,5 hours 54 mins,21255
4,JCSSA012795,LAGOS DE MORENO,JALISCO,CMSSA010450,COLIMA,COLIMA,379 km,378891,4 hours 21 mins,15632
5,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,CMSSA010450,COLIMA,COLIMA,270 km,270340,3 hours 11 mins,11433
6,JCSSA012812,LA BARCA,JALISCO,CMSSA010450,COLIMA,COLIMA,295 km,294626,3 hours 21 mins,12080
7,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,CMSSA010450,COLIMA,COLIMA,83.0 km,82972,1 hour 24 mins,5065
8,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,CMSSA010450,COLIMA,COLIMA,75.9 km,75949,1 hour 6 mins,3965
9,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,CMSSA010450,COLIMA,COLIMA,191 km,190966,3 hours 10 mins,11389
10,JCSSA012853,PUERTO VALLARTA,JALISCO,CMSSA010450,COLIMA,COLIMA,382 km,382249,5 hours 56 mins,21363
11,JCSSA012865,AMECA,JALISCO,CMSSA010450,COLIMA,COLIMA,227 km,227347,2 hours 56 mins,10544
12,JCSSA012870,ZAPOPAN,JALISCO,CMSSA010450,COLIMA,COLIMA,196 km,195970,2 hours 30 mins,8970
13,JCSSA012882,GUADALAJARA,JALISCO,CMSSA010450,COLIMA,COLIMA,201 km,201014,2 hours 44 mins,9824
14,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,CMSSA010450,COLIMA,COLIMA,199 km,198899,2 hours 40 mins,9607
15,JCSSA012906,GUADALAJARA,JALISCO,CMSSA010450,COLIMA,COLIMA,197 km,197238,2 hours 41 mins,9649
