,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,JCSSA003670,MEZQUITIC,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,464 km,463660,6 hours 17 mins,22610
1,JCSSA003670,MEZQUITIC,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,506 km,505679,6 hours 35 mins,23685
2,JCSSA008063,AMECA,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,352 km,352001,4 hours 15 mins,15319
3,JCSSA008063,AMECA,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,353 km,352537,4 hours 31 mins,16231
4,JCSSA012771,ZAPOPAN,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,280 km,280025,3 hours 21 mins,12043
5,JCSSA012771,ZAPOPAN,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,281 km,280562,3 hours 36 mins,12956
6,JCSSA012783,COLOTLÁN,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,371 km,371296,5 hours 11 mins,18689
7,JCSSA012783,COLOTLÁN,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,413 km,413315,5 hours 29 mins,19764
8,JCSSA012795,LAGOS DE MORENO,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,98.3 km,98292,1 hour 25 mins,5071
9,JCSSA012795,LAGOS DE MORENO,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,140 km,140310,1 hour 42 mins,6146
10,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,198 km,197905,2 hours 19 mins,8365
11,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,240 km,239924,2 hours 37 mins,9440
12,JCSSA012812,LA BARCA,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,210 km,210217,2 hours 43 mins,9768
13,JCSSA012812,LA BARCA,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,173 km,173064,2 hours 19 mins,8311
14,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,430 km,429718,5 hours 6 mins,18336
15,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,301 km,300540,4 hours 47 mins,17199
16,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,394 km,394359,4 hours 25 mins,15883
17,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,391 km,391012,4 hours 38 mins,16665
18,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,458 km,457562,5 hours 53 mins,21170
19,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,454 km,454215,6 hours 6 mins,21953
20,JCSSA012853,PUERTO VALLARTA,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,595 km,595218,7 hours 45 mins,27904
21,JCSSA012853,PUERTO VALLARTA,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,596 km,595755,8 hours 0 mins,28817
22,JCSSA012865,AMECA,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,350 km,349544,4 hours 12 mins,15138
23,JCSSA012865,AMECA,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,350 km,350081,4 hours 28 mins,16051
24,JCSSA012870,ZAPOPAN,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,278 km,278024,3 hours 16 mins,11762
25,JCSSA012870,ZAPOPAN,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,279 km,278561,3 hours 31 mins,12675
26,JCSSA012882,GUADALAJARA,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,266 km,265862,3 hours 11 mins,11453
27,JCSSA012882,GUADALAJARA,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,266 km,266398,3 hours 26 mins,12366
28,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,270 km,269676,3 hours 12 mins,11534
29,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,270 km,270213,3 hours 27 mins,12447
30,JCSSA012906,GUADALAJARA,JALISCO,GTSSA016575,GUANAJUATO,GUANAJUATO,268 km,268161,3 hours 9 mins,11313
31,JCSSA012906,GUADALAJARA,JALISCO,GTSSA016580,SALAMANCA,GUANAJUATO,269 km,268698,3 hours 24 mins,12225
