,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,JCSSA003670,MEZQUITIC,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,566 km,565514,7 hours 34 mins,27262
1,JCSSA003670,MEZQUITIC,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,607 km,606723,7 hours 45 mins,27903
2,JCSSA008063,AMECA,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,321 km,321308,4 hours 2 mins,14519
3,JCSSA008063,AMECA,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,374 km,374111,4 hours 21 mins,15685
4,JCSSA012771,ZAPOPAN,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,249 km,249333,3 hours 7 mins,11244
5,JCSSA012771,ZAPOPAN,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,302 km,302135,3 hours 27 mins,12410
6,JCSSA012783,COLOTLÁN,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,453 km,453229,6 hours 28 mins,23300
7,JCSSA012783,COLOTLÁN,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,506 km,506031,6 hours 48 mins,24466
8,JCSSA012795,LAGOS DE MORENO,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,200 km,200145,2 hours 42 mins,9723
9,JCSSA012795,LAGOS DE MORENO,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,241 km,241355,2 hours 53 mins,10364
10,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,215 km,214722,3 hours 1 min,10882
11,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,268 km,267525,3 hours 21 mins,12047
12,JCSSA012812,LA BARCA,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,142 km,141835,1 hour 50 mins,6599
13,JCSSA012812,LA BARCA,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,195 km,194637,2 hours 9 mins,7765
14,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,276 km,276085,4 hours 20 mins,15591
15,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,329 km,328887,4 hours 39 mins,16757
16,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,360 km,359783,4 hours 9 mins,14953
17,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,413 km,412585,4 hours 29 mins,16119
18,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,423 km,422986,5 hours 37 mins,20241
19,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,476 km,475789,5 hours 57 mins,21407
20,JCSSA012853,PUERTO VALLARTA,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,565 km,564526,7 hours 32 mins,27105
21,JCSSA012853,PUERTO VALLARTA,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,617 km,617328,7 hours 51 mins,28271
22,JCSSA012865,AMECA,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,319 km,318852,3 hours 59 mins,14339
23,JCSSA012865,AMECA,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,372 km,371654,4 hours 18 mins,15505
24,JCSSA012870,ZAPOPAN,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,247 km,247331,3 hours 3 mins,10963
25,JCSSA012870,ZAPOPAN,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,300 km,300134,3 hours 22 mins,12129
26,JCSSA012882,GUADALAJARA,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,235 km,235169,2 hours 58 mins,10654
27,JCSSA012882,GUADALAJARA,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,288 km,287972,3 hours 17 mins,11820
28,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,239 km,238984,2 hours 59 mins,10735
29,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,292 km,291787,3 hours 18 mins,11901
30,JCSSA012906,GUADALAJARA,JALISCO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,237 km,237469,2 hours 55 mins,10513
31,JCSSA012906,GUADALAJARA,JALISCO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,290 km,290272,3 hours 15 mins,11679
