,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MCSSA000352,ACULCO,MEXICO,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,140 km,139562,2 hours 5 mins,7489
1,MCSSA000352,ACULCO,MEXICO,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,156 km,156422,2 hours 10 mins,7787
2,MCSSA000352,ACULCO,MEXICO,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,165 km,164862,2 hours 26 mins,8767
3,MCSSA000352,ACULCO,MEXICO,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,148 km,148388,2 hours 8 mins,7660
4,MCSSA002831,IXTAPAN DEL ORO,MEXICO,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,162 km,162362,2 hours 34 mins,9265
5,MCSSA002831,IXTAPAN DEL ORO,MEXICO,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,164 km,164151,2 hours 34 mins,9211
6,MCSSA002831,IXTAPAN DEL ORO,MEXICO,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,178 km,177553,2 hours 50 mins,10181
7,MCSSA002831,IXTAPAN DEL ORO,MEXICO,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,160 km,160127,2 hours 36 mins,9374
8,MCSSA003176,JILOTEPEC,MEXICO,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,105 km,104714,1 hour 32 mins,5525
9,MCSSA003176,JILOTEPEC,MEXICO,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,122 km,121575,1 hour 37 mins,5823
10,MCSSA003176,JILOTEPEC,MEXICO,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,130 km,130015,1 hour 53 mins,6803
11,MCSSA003176,JILOTEPEC,MEXICO,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,114 km,113541,1 hour 35 mins,5696
12,MCSSA004832,OTZOLOAPAN,MEXICO,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,184 km,183986,3 hours 14 mins,11661
13,MCSSA004832,OTZOLOAPAN,MEXICO,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,186 km,185775,3 hours 13 mins,11607
14,MCSSA004832,OTZOLOAPAN,MEXICO,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,199 km,199177,3 hours 30 mins,12577
15,MCSSA004832,OTZOLOAPAN,MEXICO,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,182 km,181751,3 hours 16 mins,11770
