,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MCSSA000352,ACULCO,MEXICO,GRSSA011560,TLAPEHUALA,GUERRERO,336 km,335965,5 hours 44 mins,20632
1,MCSSA000352,ACULCO,MEXICO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,275 km,274624,4 hours 25 mins,15901
2,MCSSA000352,ACULCO,MEXICO,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,428 km,428059,5 hours 10 mins,18610
3,MCSSA000352,ACULCO,MEXICO,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,427 km,426879,5 hours 7 mins,18440
4,MCSSA000352,ACULCO,MEXICO,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,506 km,506383,7 hours 38 mins,27475
5,MCSSA000352,ACULCO,MEXICO,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,508 km,508104,7 hours 44 mins,27811
6,MCSSA000352,ACULCO,MEXICO,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,628 km,628442,7 hours 52 mins,28303
7,MCSSA000352,ACULCO,MEXICO,GRSSA011696,OMETEPEC,GUERRERO,710 km,710481,9 hours 32 mins,34324
8,MCSSA000352,ACULCO,MEXICO,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,532 km,531850,6 hours 28 mins,23267
9,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011560,TLAPEHUALA,GUERRERO,243 km,243038,5 hours 3 mins,18171
10,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,287 km,286924,4 hours 29 mins,16150
11,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,424 km,424290,5 hours 23 mins,19381
12,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,423 km,423110,5 hours 20 mins,19212
13,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,488 km,488193,8 hours 11 mins,29464
14,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,490 km,489914,8 hours 17 mins,29800
15,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,625 km,624674,8 hours 5 mins,29074
16,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011696,OMETEPEC,GUERRERO,707 km,706712,9 hours 45 mins,35095
17,MCSSA002831,IXTAPAN DEL ORO,MEXICO,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,528 km,528082,6 hours 41 mins,24039
18,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011560,TLAPEHUALA,GUERRERO,383 km,382934,6 hours 2 mins,21715
19,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,304 km,304254,3 hours 59 mins,14316
20,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,393 km,393211,4 hours 37 mins,16646
21,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,392 km,392031,4 hours 35 mins,16477
22,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,472 km,472046,7 hours 8 mins,25688
23,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,474 km,473767,7 hours 14 mins,26024
24,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,594 km,593595,7 hours 19 mins,26339
25,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011696,OMETEPEC,GUERRERO,676 km,675633,8 hours 59 mins,32360
26,MCSSA003176,JILOTEPEC,MEXICO,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,497 km,497003,5 hours 55 mins,21304
27,MCSSA004832,OTZOLOAPAN,MEXICO,GRSSA011560,TLAPEHUALA,GUERRERO,163 km,163090,3 hours 27 mins,12399
28,MCSSA004832,OTZOLOAPAN,MEXICO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,309 km,308548,5 hours 9 mins,18546
