,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MCSSA000352,ACULCO,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,245 km,245259,3 hours 18 mins,11863
1,MCSSA000352,ACULCO,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,244 km,243572,3 hours 16 mins,11778
2,MCSSA000352,ACULCO,MEXICO,MSSSA002275,JOJUTLA,MORELOS,280 km,279515,3 hours 50 mins,13816
3,MCSSA000352,ACULCO,MEXICO,MSSSA002292,CUAUTLA,MORELOS,254 km,254041,3 hours 35 mins,12879
4,MCSSA002831,IXTAPAN DEL ORO,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,241 km,241491,3 hours 31 mins,12634
5,MCSSA002831,IXTAPAN DEL ORO,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,240 km,239804,3 hours 29 mins,12549
6,MCSSA002831,IXTAPAN DEL ORO,MEXICO,MSSSA002275,JOJUTLA,MORELOS,276 km,275747,4 hours 3 mins,14587
7,MCSSA002831,IXTAPAN DEL ORO,MEXICO,MSSSA002292,CUAUTLA,MORELOS,257 km,256930,3 hours 51 mins,13879
8,MCSSA003176,JILOTEPEC,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,210 km,210412,2 hours 45 mins,9899
9,MCSSA003176,JILOTEPEC,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,209 km,208725,2 hours 44 mins,9814
10,MCSSA003176,JILOTEPEC,MEXICO,MSSSA002275,JOJUTLA,MORELOS,245 km,244668,3 hours 18 mins,11852
11,MCSSA003176,JILOTEPEC,MEXICO,MSSSA002292,CUAUTLA,MORELOS,219 km,219193,3 hours 2 mins,10915
12,MCSSA004832,OTZOLOAPAN,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,263 km,263115,4 hours 11 mins,15030
13,MCSSA004832,OTZOLOAPAN,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,261 km,261428,4 hours 9 mins,14946
14,MCSSA004832,OTZOLOAPAN,MEXICO,MSSSA002275,JOJUTLA,MORELOS,297 km,297371,4 hours 43 mins,16983
15,MCSSA004832,OTZOLOAPAN,MEXICO,MSSSA002292,CUAUTLA,MORELOS,279 km,278554,4 hours 31 mins,16275
16,MCSSA004996,POLOTITLÁN,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,230 km,230247,2 hours 54 mins,10450
17,MCSSA004996,POLOTITLÁN,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,229 km,228560,2 hours 53 mins,10366
18,MCSSA004996,POLOTITLÁN,MEXICO,MSSSA002275,JOJUTLA,MORELOS,265 km,264503,3 hours 27 mins,12404
19,MCSSA004996,POLOTITLÁN,MEXICO,MSSSA002292,CUAUTLA,MORELOS,239 km,239028,3 hours 11 mins,11467
20,MCSSA005066,RAYÓN,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,85.3 km,85260,1 hour 58 mins,7065
21,MCSSA005066,RAYÓN,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,83.6 km,83573,1 hour 56 mins,6980
22,MCSSA005066,RAYÓN,MEXICO,MSSSA002275,JOJUTLA,MORELOS,128 km,127567,2 hours 16 mins,8152
23,MCSSA005066,RAYÓN,MEXICO,MSSSA002292,CUAUTLA,MORELOS,165 km,164803,2 hours 25 mins,8712
24,MCSSA008566,ZACAZONAPAN,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,249 km,249181,4 hours 4 mins,14625
25,MCSSA008566,ZACAZONAPAN,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,247 km,247494,4 hours 2 mins,14540
26,MCSSA008566,ZACAZONAPAN,MEXICO,MSSSA002275,JOJUTLA,MORELOS,250 km,249800,4 hours 37 mins,16627
27,MCSSA008566,ZACAZONAPAN,MEXICO,MSSSA002292,CUAUTLA,MORELOS,265 km,264620,4 hours 25 mins,15870
28,MCSSA015304,ATLACOMULCO,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,212 km,211810,2 hours 49 mins,10119
29,MCSSA015304,ATLACOMULCO,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,210 km,210123,2 hours 47 mins,10034
30,MCSSA015304,ATLACOMULCO,MEXICO,MSSSA002275,JOJUTLA,MORELOS,246 km,246066,3 hours 21 mins,12072
31,MCSSA015304,ATLACOMULCO,MEXICO,MSSSA002292,CUAUTLA,MORELOS,227 km,227249,3 hours 9 mins,11364
32,MCSSA015333,JILOTEPEC,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,202 km,201839,2 hours 48 mins,10062
33,MCSSA015333,JILOTEPEC,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,200 km,200152,2 hours 46 mins,9977
34,MCSSA015333,JILOTEPEC,MEXICO,MSSSA002275,JOJUTLA,MORELOS,236 km,236094,3 hours 20 mins,12015
35,MCSSA015333,JILOTEPEC,MEXICO,MSSSA002292,CUAUTLA,MORELOS,211 km,210620,3 hours 5 mins,11078
36,MCSSA015350,TENANGO DEL VALLE,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,90.2 km,90172,2 hours 4 mins,7410
37,MCSSA015350,TENANGO DEL VALLE,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,88.5 km,88485,2 hours 2 mins,7326
38,MCSSA015350,TENANGO DEL VALLE,MEXICO,MSSSA002275,JOJUTLA,MORELOS,125 km,125017,2 hours 14 mins,8066
39,MCSSA015350,TENANGO DEL VALLE,MEXICO,MSSSA002292,CUAUTLA,MORELOS,170 km,169715,2 hours 31 mins,9057
40,MCSSA015490,TOLUCA,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,141 km,141004,2 hours 1 min,7265
41,MCSSA015490,TOLUCA,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,139 km,139317,2 hours 0 mins,7181
42,MCSSA015490,TOLUCA,MEXICO,MSSSA002275,JOJUTLA,MORELOS,175 km,175260,2 hours 34 mins,9219
43,MCSSA015490,TOLUCA,MEXICO,MSSSA002292,CUAUTLA,MORELOS,156 km,156443,2 hours 22 mins,8511
44,MCSSA015502,TOLUCA,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,137 km,136870,1 hour 57 mins,7028
45,MCSSA015502,TOLUCA,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,135 km,135183,1 hour 56 mins,6944
46,MCSSA015502,TOLUCA,MEXICO,MSSSA002275,JOJUTLA,MORELOS,171 km,171126,2 hours 30 mins,8981
47,MCSSA015502,TOLUCA,MEXICO,MSSSA002292,CUAUTLA,MORELOS,152 km,152309,2 hours 18 mins,8273
48,MCSSA015572,TULTITLÁN,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,129 km,129419,1 hour 55 mins,6883
49,MCSSA015572,TULTITLÁN,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,128 km,127732,1 hour 53 mins,6799
50,MCSSA015572,TULTITLÁN,MEXICO,MSSSA002275,JOJUTLA,MORELOS,164 km,163675,2 hours 27 mins,8836
51,MCSSA015572,TULTITLÁN,MEXICO,MSSSA002292,CUAUTLA,MORELOS,145 km,144858,2 hours 15 mins,8128
