,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MCSSA000352,ACULCO,MEXICO,PLSSA006306,CUAUTLANCINGO,PUEBLA,258 km,257831,3 hours 1 min,10851
1,MCSSA000352,ACULCO,MEXICO,PLSSA014794,HUAUCHINANGO,PUEBLA,259 km,259350,3 hours 5 mins,11113
2,MCSSA000352,ACULCO,MEXICO,PLSSA014806,CHIGNAHUAPAN,PUEBLA,274 km,273500,3 hours 18 mins,11857
3,MCSSA000352,ACULCO,MEXICO,PLSSA014811,ZACAPOAXTLA,PUEBLA,372 km,371958,4 hours 33 mins,16400
4,MCSSA000352,ACULCO,MEXICO,PLSSA014823,ZACAPOAXTLA,PUEBLA,372 km,371958,4 hours 33 mins,16400
5,MCSSA000352,ACULCO,MEXICO,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,319 km,319255,3 hours 46 mins,13580
6,MCSSA000352,ACULCO,MEXICO,PLSSA014840,HUEJOTZINGO,PUEBLA,253 km,252971,2 hours 57 mins,10611
7,MCSSA000352,ACULCO,MEXICO,PLSSA014852,PUEBLA,PUEBLA,272 km,271783,3 hours 22 mins,12131
8,MCSSA000352,ACULCO,MEXICO,PLSSA014864,PUEBLA,PUEBLA,272 km,271783,3 hours 22 mins,12131
9,MCSSA000352,ACULCO,MEXICO,PLSSA014876,PUEBLA,PUEBLA,272 km,271783,3 hours 22 mins,12131
10,MCSSA000352,ACULCO,MEXICO,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,334 km,334445,4 hours 8 mins,14891
11,MCSSA000352,ACULCO,MEXICO,PLSSA014893,ACATLÁN,PUEBLA,422 km,422034,5 hours 53 mins,21171
12,MCSSA000352,ACULCO,MEXICO,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,364 km,364134,4 hours 46 mins,17139
13,MCSSA000352,ACULCO,MEXICO,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,364 km,364134,4 hours 46 mins,17139
14,MCSSA000352,ACULCO,MEXICO,PLSSA014922,TEHUACÁN,PUEBLA,392 km,391717,4 hours 30 mins,16192
15,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA006306,CUAUTLANCINGO,PUEBLA,278 km,277798,4 hours 2 mins,14509
16,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014794,HUAUCHINANGO,PUEBLA,331 km,330568,4 hours 33 mins,16385
17,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014806,CHIGNAHUAPAN,PUEBLA,345 km,344719,4 hours 45 mins,17129
18,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014811,ZACAPOAXTLA,PUEBLA,422 km,422378,5 hours 56 mins,21349
19,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014823,ZACAPOAXTLA,PUEBLA,422 km,422378,5 hours 56 mins,21349
20,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,355 km,355280,5 hours 7 mins,18391
21,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014840,HUEJOTZINGO,PUEBLA,273 km,272843,3 hours 58 mins,14289
22,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014852,PUEBLA,PUEBLA,292 km,291751,4 hours 23 mins,15790
23,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014864,PUEBLA,PUEBLA,292 km,291751,4 hours 23 mins,15790
24,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014876,PUEBLA,PUEBLA,292 km,291751,4 hours 23 mins,15790
25,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,316 km,316255,4 hours 41 mins,16880
26,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014893,ACATLÁN,PUEBLA,404 km,403844,6 hours 26 mins,23160
27,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,384 km,384101,5 hours 47 mins,20798
28,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,384 km,384101,5 hours 47 mins,20798
29,MCSSA002831,IXTAPAN DEL ORO,MEXICO,PLSSA014922,TEHUACÁN,PUEBLA,412 km,411685,5 hours 31 mins,19851
30,MCSSA003176,JILOTEPEC,MEXICO,PLSSA006306,CUAUTLANCINGO,PUEBLA,223 km,223493,2 hours 31 mins,9063
31,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014794,HUAUCHINANGO,PUEBLA,225 km,225012,2 hours 35 mins,9326
32,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014806,CHIGNAHUAPAN,PUEBLA,239 km,239163,2 hours 48 mins,10070
33,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014811,ZACAPOAXTLA,PUEBLA,338 km,337621,4 hours 4 mins,14613
34,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014823,ZACAPOAXTLA,PUEBLA,338 km,337621,4 hours 4 mins,14613
35,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,285 km,284918,3 hours 17 mins,11793
36,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014840,HUEJOTZINGO,PUEBLA,219 km,218633,2 hours 27 mins,8824
37,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014852,PUEBLA,PUEBLA,237 km,237446,2 hours 52 mins,10344
38,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014864,PUEBLA,PUEBLA,237 km,237446,2 hours 52 mins,10344
39,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014876,PUEBLA,PUEBLA,237 km,237446,2 hours 52 mins,10344
40,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,300 km,300108,3 hours 38 mins,13104
41,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014893,ACATLÁN,PUEBLA,388 km,387697,5 hours 23 mins,19384
42,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,330 km,329796,4 hours 16 mins,15352
43,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,330 km,329796,4 hours 16 mins,15352
44,MCSSA003176,JILOTEPEC,MEXICO,PLSSA014922,TEHUACÁN,PUEBLA,357 km,357380,4 hours 0 mins,14405
45,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA006306,CUAUTLANCINGO,PUEBLA,299 km,299422,4 hours 42 mins,16906
46,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014794,HUAUCHINANGO,PUEBLA,352 km,352192,5 hours 13 mins,18781
47,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014806,CHIGNAHUAPAN,PUEBLA,366 km,366342,5 hours 25 mins,19525
48,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014811,ZACAPOAXTLA,PUEBLA,444 km,444002,6 hours 36 mins,23746
49,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014823,ZACAPOAXTLA,PUEBLA,444 km,444002,6 hours 36 mins,23746
50,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,377 km,376904,5 hours 46 mins,20787
51,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014840,HUEJOTZINGO,PUEBLA,294 km,294467,4 hours 38 mins,16685
52,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014852,PUEBLA,PUEBLA,313 km,313375,5 hours 3 mins,18186
53,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014864,PUEBLA,PUEBLA,313 km,313375,5 hours 3 mins,18186
54,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014876,PUEBLA,PUEBLA,313 km,313375,5 hours 3 mins,18186
55,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,338 km,337879,5 hours 21 mins,19276
56,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014893,ACATLÁN,PUEBLA,425 km,425468,7 hours 6 mins,25556
57,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,406 km,405725,6 hours 27 mins,23194
58,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,406 km,405725,6 hours 27 mins,23194
59,MCSSA004832,OTZOLOAPAN,MEXICO,PLSSA014922,TEHUACÁN,PUEBLA,433 km,433309,6 hours 11 mins,22247
60,MCSSA004996,POLOTITLÁN,MEXICO,PLSSA006306,CUAUTLANCINGO,PUEBLA,243 km,243329,2 hours 40 mins,9615
