,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MCSSA000352,ACULCO,MEXICO,TLSSA017605,APIZACO,TLAXCALA,246 km,246469,2 hours 55 mins,10504
1,MCSSA002831,IXTAPAN DEL ORO,MEXICO,TLSSA017605,APIZACO,TLAXCALA,293 km,292901,4 hours 22 mins,15736
2,MCSSA003176,JILOTEPEC,MEXICO,TLSSA017605,APIZACO,TLAXCALA,212 km,212132,2 hours 25 mins,8717
3,MCSSA004832,OTZOLOAPAN,MEXICO,TLSSA017605,APIZACO,TLAXCALA,315 km,314525,5 hours 2 mins,18132
4,MCSSA004996,POLOTITLÁN,MEXICO,TLSSA017605,APIZACO,TLAXCALA,232 km,231967,2 hours 34 mins,9269
5,MCSSA005066,RAYÓN,MEXICO,TLSSA017605,APIZACO,TLAXCALA,201 km,200774,2 hours 56 mins,10569
6,MCSSA008566,ZACAZONAPAN,MEXICO,TLSSA017605,APIZACO,TLAXCALA,301 km,300591,4 hours 55 mins,17727
7,MCSSA015304,ATLACOMULCO,MEXICO,TLSSA017605,APIZACO,TLAXCALA,245 km,244548,2 hours 44 mins,9848
8,MCSSA015333,JILOTEPEC,MEXICO,TLSSA017605,APIZACO,TLAXCALA,203 km,203049,2 hours 25 mins,8704
9,MCSSA015350,TENANGO DEL VALLE,MEXICO,TLSSA017605,APIZACO,TLAXCALA,206 km,205686,3 hours 2 mins,10914
10,MCSSA015490,TOLUCA,MEXICO,TLSSA017605,APIZACO,TLAXCALA,192 km,192414,2 hours 53 mins,10367
11,MCSSA015502,TOLUCA,MEXICO,TLSSA017605,APIZACO,TLAXCALA,188 km,188281,2 hours 49 mins,10130
12,MCSSA015572,TULTITLÁN,MEXICO,TLSSA017605,APIZACO,TLAXCALA,161 km,161153,2 hours 0 mins,7179
13,MCSSA015601,OTUMBA,MEXICO,TLSSA017605,APIZACO,TLAXCALA,91.4 km,91446,1 hour 12 mins,4319
14,MCSSA015630,AMECAMECA,MEXICO,TLSSA017605,APIZACO,TLAXCALA,125 km,124590,1 hour 46 mins,6338
15,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,TLSSA017605,APIZACO,TLAXCALA,118 km,118437,1 hour 47 mins,6422
16,MCSSA018371,TOLUCA,MEXICO,TLSSA017605,APIZACO,TLAXCALA,186 km,185925,2 hours 43 mins,9782
