,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011560,TLAPEHUALA,GUERRERO,376 km,376421,7 hours 2 mins,25312
1,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,456 km,455972,6 hours 32 mins,23537
2,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,611 km,611362,7 hours 26 mins,26769
3,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,610 km,610182,7 hours 23 mins,26599
4,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,714 km,713983,10 hours 4 mins,36212
5,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,716 km,715703,10 hours 9 mins,36548
6,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,605 km,605121,8 hours 0 mins,28772
7,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011696,OMETEPEC,GUERRERO,894 km,893784,11 hours 48 mins,42482
8,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,715 km,715153,8 hours 44 mins,31426
9,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011560,TLAPEHUALA,GUERRERO,283 km,282869,5 hours 32 mins,19925
10,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,408 km,407591,5 hours 40 mins,20370
11,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,563 km,562981,6 hours 33 mins,23602
12,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,562 km,561801,6 hours 31 mins,23432
13,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,666 km,665601,9 hours 11 mins,33046
14,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,667 km,667322,9 hours 16 mins,33382
15,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,486 km,485558,6 hours 34 mins,23656
16,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011696,OMETEPEC,GUERRERO,845 km,845403,10 hours 55 mins,39315
17,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,667 km,666772,7 hours 51 mins,28259
