,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA000352,ACULCO,MEXICO,248 km,248014,3 hours 27 mins,12420
1,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,259 km,259038,4 hours 37 mins,16633
2,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA003176,JILOTEPEC,MEXICO,290 km,289512,3 hours 29 mins,12538
3,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA004832,OTZOLOAPAN,MEXICO,372 km,372269,5 hours 31 mins,19888
4,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA004996,POLOTITLÁN,MEXICO,256 km,256013,3 hours 6 mins,11142
5,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA005066,RAYÓN,MEXICO,303 km,302841,4 hours 6 mins,14788
6,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA008566,ZACAZONAPAN,MEXICO,382 km,382337,5 hours 25 mins,19474
7,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015304,ATLACOMULCO,MEXICO,221 km,221084,2 hours 56 mins,10566
8,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015333,JILOTEPEC,MEXICO,276 km,275791,3 hours 37 mins,12997
9,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015350,TENANGO DEL VALLE,MEXICO,309 km,308600,4 hours 14 mins,15239
10,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015490,TOLUCA,MEXICO,284 km,283654,3 hours 45 mins,13499
11,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015502,TOLUCA,MEXICO,288 km,288225,3 hours 57 mins,14240
12,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015572,TULTITLÁN,MEXICO,333 km,333039,4 hours 11 mins,15072
13,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015601,OTUMBA,MEXICO,375 km,374679,4 hours 39 mins,16738
14,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015630,AMECAMECA,MEXICO,417 km,417077,5 hours 12 mins,18727
15,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,363 km,362909,4 hours 31 mins,16267
16,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,MCSSA018371,TOLUCA,MEXICO,290 km,290272,3 hours 50 mins,13772
17,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA000352,ACULCO,MEXICO,200 km,199632,2 hours 34 mins,9253
18,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,181 km,181140,3 hours 47 mins,13644
19,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA003176,JILOTEPEC,MEXICO,247 km,246967,2 hours 50 mins,10186
20,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA004832,OTZOLOAPAN,MEXICO,324 km,323888,4 hours 39 mins,16722
21,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA004996,POLOTITLÁN,MEXICO,229 km,228594,2 hours 45 mins,9906
22,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA005066,RAYÓN,MEXICO,254 km,254460,3 hours 14 mins,11621
23,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA008566,ZACAZONAPAN,MEXICO,334 km,333955,4 hours 32 mins,16307
24,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015304,ATLACOMULCO,MEXICO,173 km,172703,2 hours 3 mins,7399
25,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015333,JILOTEPEC,MEXICO,227 km,227410,2 hours 44 mins,9830
26,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015350,TENANGO DEL VALLE,MEXICO,260 km,260218,3 hours 21 mins,12072
27,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015490,TOLUCA,MEXICO,235 km,235273,2 hours 52 mins,10332
28,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015502,TOLUCA,MEXICO,240 km,239844,3 hours 5 mins,11073
29,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015572,TULTITLÁN,MEXICO,285 km,284658,3 hours 18 mins,11905
30,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015601,OTUMBA,MEXICO,326 km,326298,3 hours 46 mins,13572
31,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015630,AMECAMECA,MEXICO,369 km,368696,4 hours 19 mins,15560
32,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,315 km,314528,3 hours 38 mins,13100
33,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,MCSSA018371,TOLUCA,MEXICO,242 km,241891,2 hours 57 mins,10605
