,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011560,TLAPEHUALA,GUERRERO,268 km,268334,4 hours 32 mins,16309
1,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,104 km,103814,1 hour 35 mins,5697
2,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,193 km,192771,2 hours 14 mins,8028
3,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,192 km,191592,2 hours 11 mins,7858
4,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,272 km,272222,5 hours 18 mins,19097
5,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,274 km,273943,5 hours 24 mins,19433
6,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,393 km,393155,4 hours 55 mins,17720
7,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011696,OMETEPEC,GUERRERO,475 km,475194,6 hours 36 mins,23741
8,MSSSA002234,JIUTEPEC,MORELOS,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,297 km,296563,3 hours 31 mins,12685
9,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011560,TLAPEHUALA,GUERRERO,266 km,265584,4 hours 27 mins,16018
10,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,101 km,101064,1 hour 30 mins,5407
11,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,190 km,190022,2 hours 9 mins,7737
12,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,189 km,188842,2 hours 6 mins,7567
13,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,292 km,291871,5 hours 24 mins,19460
14,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,294 km,293592,5 hours 30 mins,19796
15,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,390 km,390405,4 hours 51 mins,17430
16,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011696,OMETEPEC,GUERRERO,472 km,472444,6 hours 31 mins,23450
17,MSSSA002251,CUERNAVACA,MORELOS,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,294 km,293813,3 hours 27 mins,12394
18,MSSSA002275,JOJUTLA,MORELOS,GRSSA011560,TLAPEHUALA,GUERRERO,252 km,251848,4 hours 22 mins,15697
19,MSSSA002275,JOJUTLA,MORELOS,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,87.3 km,87328,1 hour 25 mins,5086
20,MSSSA002275,JOJUTLA,MORELOS,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,158 km,158427,1 hour 53 mins,6808
21,MSSSA002275,JOJUTLA,MORELOS,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,157 km,157247,1 hour 51 mins,6638
22,MSSSA002275,JOJUTLA,MORELOS,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,268 km,268155,5 hours 17 mins,19027
23,MSSSA002275,JOJUTLA,MORELOS,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,270 km,269876,5 hours 23 mins,19363
24,MSSSA002275,JOJUTLA,MORELOS,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,359 km,358811,4 hours 35 mins,16500
25,MSSSA002275,JOJUTLA,MORELOS,GRSSA011696,OMETEPEC,GUERRERO,441 km,440849,6 hours 15 mins,22521
26,MSSSA002275,JOJUTLA,MORELOS,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,262 km,262218,3 hours 11 mins,11465
27,MSSSA002292,CUAUTLA,MORELOS,GRSSA011560,TLAPEHUALA,GUERRERO,296 km,295936,5 hours 3 mins,18152
28,MSSSA002292,CUAUTLA,MORELOS,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,131 km,131416,2 hours 6 mins,7541
29,MSSSA002292,CUAUTLA,MORELOS,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,195 km,195442,2 hours 30 mins,9010
30,MSSSA002292,CUAUTLA,MORELOS,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,194 km,194262,2 hours 27 mins,8840
31,MSSSA002292,CUAUTLA,MORELOS,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,235 km,234843,4 hours 42 mins,16900
32,MSSSA002292,CUAUTLA,MORELOS,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,237 km,236564,4 hours 47 mins,17236
33,MSSSA002292,CUAUTLA,MORELOS,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,396 km,395825,5 hours 12 mins,18702
34,MSSSA002292,CUAUTLA,MORELOS,GRSSA011696,OMETEPEC,GUERRERO,478 km,477864,6 hours 52 mins,24723
35,MSSSA002292,CUAUTLA,MORELOS,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,299 km,299233,3 hours 48 mins,13667
