,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MSSSA002234,JIUTEPEC,MORELOS,PLSSA006306,CUAUTLANCINGO,PUEBLA,154 km,153838,2 hours 14 mins,8041
1,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014794,HUAUCHINANGO,PUEBLA,274 km,273625,3 hours 40 mins,13187
2,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014806,CHIGNAHUAPAN,PUEBLA,258 km,258132,3 hours 47 mins,13621
3,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014811,ZACAPOAXTLA,PUEBLA,287 km,286981,4 hours 0 mins,14385
4,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014823,ZACAPOAXTLA,PUEBLA,287 km,286981,4 hours 0 mins,14385
5,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,220 km,219883,3 hours 10 mins,11426
6,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014840,HUEJOTZINGO,PUEBLA,143 km,143308,2 hours 27 mins,8820
7,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014852,PUEBLA,PUEBLA,145 km,144795,2 hours 17 mins,8245
8,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014864,PUEBLA,PUEBLA,145 km,144795,2 hours 17 mins,8245
9,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014876,PUEBLA,PUEBLA,145 km,144795,2 hours 17 mins,8245
10,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,100 km,100284,1 hour 49 mins,6513
11,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014893,ACATLÁN,PUEBLA,188 km,187873,3 hours 33 mins,12793
12,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,222 km,222463,3 hours 42 mins,13304
13,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,222 km,222463,3 hours 42 mins,13304
14,MSSSA002234,JIUTEPEC,MORELOS,PLSSA014922,TEHUACÁN,PUEBLA,276 km,276288,3 hours 35 mins,12887
15,MSSSA002251,CUERNAVACA,MORELOS,PLSSA006306,CUAUTLANCINGO,PUEBLA,173 km,173487,2 hours 20 mins,8404
16,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014794,HUAUCHINANGO,PUEBLA,271 km,270875,3 hours 35 mins,12896
17,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014806,CHIGNAHUAPAN,PUEBLA,285 km,285025,3 hours 47 mins,13639
18,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014811,ZACAPOAXTLA,PUEBLA,307 km,306630,4 hours 6 mins,14748
19,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014823,ZACAPOAXTLA,PUEBLA,307 km,306630,4 hours 6 mins,14748
20,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,240 km,239532,3 hours 16 mins,11789
21,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014840,HUEJOTZINGO,PUEBLA,163 km,162958,2 hours 33 mins,9183
22,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014852,PUEBLA,PUEBLA,164 km,164444,2 hours 23 mins,8608
23,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014864,PUEBLA,PUEBLA,164 km,164444,2 hours 23 mins,8608
24,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014876,PUEBLA,PUEBLA,164 km,164444,2 hours 23 mins,8608
25,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,120 km,119933,1 hour 55 mins,6876
26,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014893,ACATLÁN,PUEBLA,208 km,207522,3 hours 39 mins,13156
27,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,242 km,242112,3 hours 48 mins,13667
28,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,242 km,242112,3 hours 48 mins,13667
29,MSSSA002251,CUERNAVACA,MORELOS,PLSSA014922,TEHUACÁN,PUEBLA,296 km,295937,3 hours 41 mins,13250
30,MSSSA002275,JOJUTLA,MORELOS,PLSSA006306,CUAUTLANCINGO,PUEBLA,150 km,149528,2 hours 12 mins,7938
31,MSSSA002275,JOJUTLA,MORELOS,PLSSA014794,HUAUCHINANGO,PUEBLA,307 km,307129,4 hours 10 mins,15022
32,MSSSA002275,JOJUTLA,MORELOS,PLSSA014806,CHIGNAHUAPAN,PUEBLA,254 km,253822,3 hours 45 mins,13518
33,MSSSA002275,JOJUTLA,MORELOS,PLSSA014811,ZACAPOAXTLA,PUEBLA,283 km,282671,3 hours 58 mins,14282
34,MSSSA002275,JOJUTLA,MORELOS,PLSSA014823,ZACAPOAXTLA,PUEBLA,283 km,282671,3 hours 58 mins,14282
35,MSSSA002275,JOJUTLA,MORELOS,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,216 km,215573,3 hours 9 mins,11323
36,MSSSA002275,JOJUTLA,MORELOS,PLSSA014840,HUEJOTZINGO,PUEBLA,139 km,138999,2 hours 25 mins,8717
37,MSSSA002275,JOJUTLA,MORELOS,PLSSA014852,PUEBLA,PUEBLA,140 km,140485,2 hours 16 mins,8142
38,MSSSA002275,JOJUTLA,MORELOS,PLSSA014864,PUEBLA,PUEBLA,140 km,140485,2 hours 16 mins,8142
39,MSSSA002275,JOJUTLA,MORELOS,PLSSA014876,PUEBLA,PUEBLA,140 km,140485,2 hours 16 mins,8142
40,MSSSA002275,JOJUTLA,MORELOS,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,96.2 km,96217,1 hour 47 mins,6443
41,MSSSA002275,JOJUTLA,MORELOS,PLSSA014893,ACATLÁN,PUEBLA,184 km,183806,3 hours 32 mins,12723
42,MSSSA002275,JOJUTLA,MORELOS,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,218 km,218153,3 hours 40 mins,13201
43,MSSSA002275,JOJUTLA,MORELOS,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,218 km,218153,3 hours 40 mins,13201
44,MSSSA002275,JOJUTLA,MORELOS,PLSSA014922,TEHUACÁN,PUEBLA,272 km,271978,3 hours 33 mins,12784
45,MSSSA002292,CUAUTLA,MORELOS,PLSSA006306,CUAUTLANCINGO,PUEBLA,116 km,116459,1 hour 37 mins,5844
46,MSSSA002292,CUAUTLA,MORELOS,PLSSA014794,HUAUCHINANGO,PUEBLA,247 km,247166,3 hours 30 mins,12616
47,MSSSA002292,CUAUTLA,MORELOS,PLSSA014806,CHIGNAHUAPAN,PUEBLA,221 km,220754,3 hours 10 mins,11424
48,MSSSA002292,CUAUTLA,MORELOS,PLSSA014811,ZACAPOAXTLA,PUEBLA,250 km,249603,3 hours 23 mins,12188
49,MSSSA002292,CUAUTLA,MORELOS,PLSSA014823,ZACAPOAXTLA,PUEBLA,250 km,249603,3 hours 23 mins,12188
50,MSSSA002292,CUAUTLA,MORELOS,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,183 km,182505,2 hours 34 mins,9229
51,MSSSA002292,CUAUTLA,MORELOS,PLSSA014840,HUEJOTZINGO,PUEBLA,106 km,105930,1 hour 50 mins,6623
52,MSSSA002292,CUAUTLA,MORELOS,PLSSA014852,PUEBLA,PUEBLA,107 km,107417,1 hour 41 mins,6048
53,MSSSA002292,CUAUTLA,MORELOS,PLSSA014864,PUEBLA,PUEBLA,107 km,107417,1 hour 41 mins,6048
54,MSSSA002292,CUAUTLA,MORELOS,PLSSA014876,PUEBLA,PUEBLA,107 km,107417,1 hour 41 mins,6048
55,MSSSA002292,CUAUTLA,MORELOS,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,62.9 km,62905,1 hour 12 mins,4316
56,MSSSA002292,CUAUTLA,MORELOS,PLSSA014893,ACATLÁN,PUEBLA,150 km,150494,2 hours 57 mins,10596
57,MSSSA002292,CUAUTLA,MORELOS,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,185 km,185084,3 hours 5 mins,11107
58,MSSSA002292,CUAUTLA,MORELOS,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,185 km,185084,3 hours 5 mins,11107
59,MSSSA002292,CUAUTLA,MORELOS,PLSSA014922,TEHUACÁN,PUEBLA,239 km,238910,2 hours 58 mins,10690
