,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,NTSSA015076,TEPIC,NAYARIT,JCSSA003670,MEZQUITIC,JALISCO,505 km,505274,7 hours 36 mins,27343
1,NTSSA015076,TEPIC,NAYARIT,JCSSA008063,AMECA,JALISCO,201 km,201162,2 hours 55 mins,10487
2,NTSSA015076,TEPIC,NAYARIT,JCSSA012771,ZAPOPAN,JALISCO,204 km,204089,2 hours 39 mins,9514
3,NTSSA015076,TEPIC,NAYARIT,JCSSA012783,COLOTLÁN,JALISCO,398 km,398096,5 hours 52 mins,21134
4,NTSSA015076,TEPIC,NAYARIT,JCSSA012795,LAGOS DE MORENO,JALISCO,388 km,388437,4 hours 41 mins,16855
5,NTSSA015076,TEPIC,NAYARIT,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,277 km,277382,3 hours 32 mins,12721
6,NTSSA015076,TEPIC,NAYARIT,JCSSA012812,LA BARCA,JALISCO,304 km,303894,3 hours 40 mins,13214
7,NTSSA015076,TEPIC,NAYARIT,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,337 km,336913,4 hours 12 mins,15144
8,NTSSA015076,TEPIC,NAYARIT,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,302 km,301902,3 hours 34 mins,12847
9,NTSSA015076,TEPIC,NAYARIT,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,365 km,364737,4 hours 58 mins,17900
10,NTSSA015076,TEPIC,NAYARIT,JCSSA012853,PUERTO VALLARTA,JALISCO,165 km,164788,3 hours 26 mins,12344
11,NTSSA015076,TEPIC,NAYARIT,JCSSA012865,AMECA,JALISCO,233 km,232663,2 hours 53 mins,10381
12,NTSSA015076,TEPIC,NAYARIT,JCSSA012870,ZAPOPAN,JALISCO,194 km,193801,2 hours 27 mins,8802
13,NTSSA015076,TEPIC,NAYARIT,JCSSA012882,GUADALAJARA,JALISCO,208 km,208183,2 hours 51 mins,10263
14,NTSSA015076,TEPIC,NAYARIT,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,207 km,206577,2 hours 49 mins,10117
15,NTSSA015076,TEPIC,NAYARIT,JCSSA012906,GUADALAJARA,JALISCO,207 km,207316,2 hours 43 mins,9787
