,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,521 km,521332,5 hours 53 mins,21182
1,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,518 km,518299,5 hours 48 mins,20863
2,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,332 km,332116,3 hours 53 mins,13951
3,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,520 km,519871,5 hours 52 mins,21132
4,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,559 km,558766,6 hours 9 mins,22151
5,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,522 km,521512,6 hours 58 mins,25050
6,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,625 km,624725,9 hours 2 mins,32509
7,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,625 km,624674,9 hours 0 mins,32424
8,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,515 km,514876,5 hours 49 mins,20935
9,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,512 km,511844,5 hours 44 mins,20616
10,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,326 km,325661,3 hours 48 mins,13704
11,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,513 km,513415,5 hours 48 mins,20885
12,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,552 km,552311,6 hours 5 mins,21904
13,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,528 km,527668,7 hours 1 min,25277
14,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,631 km,630881,9 hours 6 mins,32735
15,NLSSA014161,MONTERREY,NUEVO LEON,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,631 km,630830,9 hours 4 mins,32650
16,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,516 km,515533,5 hours 48 mins,20855
17,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,513 km,512501,5 hours 42 mins,20536
18,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,326 km,326318,3 hours 47 mins,13624
19,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,514 km,514073,5 hours 47 mins,20805
20,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,553 km,552968,6 hours 4 mins,21824
21,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,517 km,517214,6 hours 51 mins,24683
22,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,620 km,620427,8 hours 56 mins,32141
23,NLSSA014173,MONTERREY,NUEVO LEON,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,620 km,620376,8 hours 54 mins,32056
