,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017704,VICTORIA,TAMAULIPAS,294 km,293586,3 hours 51 mins,13882
1,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017716,TAMPICO,TAMAULIPAS,516 km,515649,6 hours 33 mins,23572
2,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017721,MATAMOROS,TAMAULIPAS,310 km,309534,3 hours 35 mins,12891
3,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017733,REYNOSA,TAMAULIPAS,216 km,216438,2 hours 36 mins,9382
4,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017745,NUEVO LAREDO,TAMAULIPAS,225 km,224772,2 hours 36 mins,9349
5,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017750,EL MANTE,TAMAULIPAS,427 km,426951,5 hours 30 mins,19775
6,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017762,SAN FERNANDO,TAMAULIPAS,287 km,286934,3 hours 24 mins,12260
7,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017774,JAUMAVE,TAMAULIPAS,357 km,356534,4 hours 40 mins,16773
8,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017786,VICTORIA,TAMAULIPAS,286 km,286115,3 hours 45 mins,13480
9,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017791,VICTORIA,TAMAULIPAS,287 km,286871,3 hours 49 mins,13727
10,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,TSSSA017803,VICTORIA,TAMAULIPAS,286 km,285990,3 hours 43 mins,13397
11,NLSSA014161,MONTERREY,NUEVO LEON,TSSSA017704,VICTORIA,TAMAULIPAS,300 km,299742,3 hours 55 mins,14109
