,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012504,GUADALUPE,ZACATECAS,483 km,482823,5 hours 34 mins,20023
1,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012545,ZACATECAS,ZACATECAS,472 km,471685,5 hours 24 mins,19456
2,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012562,OJOCALIENTE,ZACATECAS,514 km,514086,5 hours 58 mins,21458
3,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012586,FRESNILLO,ZACATECAS,467 km,466695,5 hours 34 mins,20011
4,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012603,RÍO GRANDE,ZACATECAS,524 km,523601,6 hours 15 mins,22521
5,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012620,JALPA,ZACATECAS,618 km,617639,7 hours 28 mins,26861
6,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,631 km,630548,7 hours 39 mins,27549
7,NLSSA014050,SAN NICOLÁS DE LOS GARZA,NUEVO LEON,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,217 km,216725,2 hours 48 mins,10077
8,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012504,GUADALUPE,ZACATECAS,476 km,476368,5 hours 30 mins,19775
9,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012545,ZACATECAS,ZACATECAS,465 km,465229,5 hours 20 mins,19209
10,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012562,OJOCALIENTE,ZACATECAS,508 km,507630,5 hours 54 mins,21211
11,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012586,FRESNILLO,ZACATECAS,460 km,460239,5 hours 29 mins,19764
12,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012603,RÍO GRANDE,ZACATECAS,517 km,517145,6 hours 11 mins,22274
13,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012620,JALPA,ZACATECAS,611 km,611184,7 hours 24 mins,26614
14,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,624 km,624093,7 hours 35 mins,27301
15,NLSSA014161,MONTERREY,NUEVO LEON,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,210 km,210269,2 hours 44 mins,9829
16,NLSSA014173,MONTERREY,NUEVO LEON,ZSSSA012504,GUADALUPE,ZACATECAS,477 km,477025,5 hours 28 mins,19695
