,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,272 km,272381,3 hours 45 mins,13494
1,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,280 km,279945,3 hours 58 mins,14296
2,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,338 km,338138,4 hours 48 mins,17285
3,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,423 km,423243,6 hours 23 mins,23003
4,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017365,VILLAFLORES,CHIAPAS,322 km,322352,4 hours 31 mins,16264
5,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017370,PICHUCALCO,CHIAPAS,460 km,459795,7 hours 9 mins,25724
6,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017382,PALENQUE,CHIAPAS,557 km,556641,8 hours 12 mins,29498
7,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017394,TAPACHULA,CHIAPAS,395 km,394951,5 hours 34 mins,20052
8,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017406,TONALÁ,CHIAPAS,173 km,172780,2 hours 28 mins,8861
9,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,CSSSA017411,OCOSINGO,CHIAPAS,432 km,431939,7 hours 7 mins,25597
10,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,781 km,781160,10 hours 2 mins,36096
11,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,789 km,788724,10 hours 15 mins,36898
12,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,847 km,846917,11 hours 5 mins,39888
13,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,932 km,932022,12 hours 40 mins,45605
14,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017365,VILLAFLORES,CHIAPAS,846 km,846247,11 hours 0 mins,39603
15,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017370,PICHUCALCO,CHIAPAS,756 km,756255,10 hours 7 mins,36441
16,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017382,PALENQUE,CHIAPAS,853 km,853101,11 hours 10 mins,40215
17,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017394,TAPACHULA,CHIAPAS,851 km,850778,12 hours 52 mins,46319
18,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017406,TONALÁ,CHIAPAS,629 km,628607,9 hours 45 mins,35128
19,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,CSSSA017411,OCOSINGO,CHIAPAS,941 km,940718,13 hours 23 mins,48200
20,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,556 km,556413,8 hours 15 mins,29674
21,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,564 km,563977,8 hours 28 mins,30476
