,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011560,TLAPEHUALA,GUERRERO,395 km,394584,5 hours 49 mins,20945
1,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,230 km,230064,2 hours 52 mins,10333
2,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,294 km,294090,3 hours 17 mins,11802
3,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,293 km,292910,3 hours 14 mins,11632
4,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,256 km,255535,4 hours 49 mins,17329
5,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,257 km,257256,4 hours 54 mins,17665
6,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,494 km,494473,5 hours 58 mins,21495
7,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011696,OMETEPEC,GUERRERO,577 km,576512,7 hours 39 mins,27516
8,PLSSA006306,CUAUTLANCINGO,PUEBLA,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,398 km,397881,4 hours 34 mins,16459
9,PLSSA014794,HUAUCHINANGO,PUEBLA,GRSSA011560,TLAPEHUALA,GUERRERO,465 km,465133,7 hours 26 mins,26730
10,PLSSA014794,HUAUCHINANGO,PUEBLA,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,362 km,361726,4 hours 57 mins,17820
11,PLSSA014794,HUAUCHINANGO,PUEBLA,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,437 km,436761,5 hours 20 mins,19222
12,PLSSA014794,HUAUCHINANGO,PUEBLA,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,436 km,435581,5 hours 18 mins,19052
