,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,600 km,600035,8 hours 8 mins,29295
1,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,252 km,252012,3 hours 54 mins,14064
2,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,363 km,362851,4 hours 40 mins,16789
3,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,342 km,341681,4 hours 9 mins,14934
4,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,601 km,600596,8 hours 9 mins,29341
5,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,319 km,318938,4 hours 28 mins,16078
6,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,593 km,593078,10 hours 31 mins,37843
7,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,250 km,249769,3 hours 57 mins,14216
8,PLSSA006306,CUAUTLANCINGO,PUEBLA,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,374 km,374065,4 hours 49 mins,17315
9,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,756 km,755831,10 hours 6 mins,36378
10,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,408 km,407808,5 hours 52 mins,21148
11,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,519 km,518647,6 hours 38 mins,23873
12,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,497 km,497477,6 hours 7 mins,22017
13,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,756 km,756392,10 hours 10 mins,36576
14,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,475 km,474734,6 hours 26 mins,23161
15,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,749 km,748874,12 hours 29 mins,44927
16,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,406 km,405565,5 hours 55 mins,21300
17,PLSSA014794,HUAUCHINANGO,PUEBLA,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,530 km,529861,6 hours 47 mins,24398
18,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,714 km,714073,9 hours 31 mins,34266
19,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,366 km,366050,5 hours 17 mins,19035
20,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,477 km,476890,6 hours 3 mins,21761
21,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,456 km,455719,5 hours 32 mins,19905
22,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,715 km,714635,9 hours 32 mins,34312
23,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,433 km,432977,5 hours 51 mins,21049
24,PLSSA014806,CHIGNAHUAPAN,PUEBLA,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,707 km,707116,11 hours 56 mins,42967
