,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA000352,ACULCO,MEXICO,104 km,103647,1 hour 20 mins,4813
1,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,265 km,265139,3 hours 40 mins,13224
2,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA003176,JILOTEPEC,MEXICO,117 km,116845,1 hour 23 mins,4958
3,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA004832,OTZOLOAPAN,MEXICO,287 km,287070,4 hours 21 mins,15663
4,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA004996,POLOTITLÁN,MEXICO,84.1 km,84104,1 hour 1 min,3654
5,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA005066,RAYÓN,MEXICO,218 km,217642,2 hours 56 mins,10562
6,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA008566,ZACAZONAPAN,MEXICO,297 km,297137,4 hours 14 mins,15248
7,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015304,ATLACOMULCO,MEXICO,136 km,135885,1 hour 46 mins,6340
8,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015333,JILOTEPEC,MEXICO,123 km,122693,1 hour 35 mins,5678
9,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015350,TENANGO DEL VALLE,MEXICO,223 km,223400,3 hours 4 mins,11014
10,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015490,TOLUCA,MEXICO,198 km,198454,2 hours 35 mins,9274
11,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015502,TOLUCA,MEXICO,203 km,203026,2 hours 47 mins,10014
12,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015572,TULTITLÁN,MEXICO,190 km,190287,2 hours 12 mins,7934
13,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015601,OTUMBA,MEXICO,232 km,231927,2 hours 40 mins,9601
14,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015630,AMECAMECA,MEXICO,274 km,274325,3 hours 13 mins,11590
15,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,220 km,220157,2 hours 32 mins,9130
16,QTSSA002744,CORREGIDORA,QUERETARO,MCSSA018371,TOLUCA,MEXICO,205 km,205073,2 hours 39 mins,9547
17,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA000352,ACULCO,MEXICO,103 km,102957,1 hour 24 mins,5032
18,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,264 km,264449,3 hours 44 mins,13443
19,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA003176,JILOTEPEC,MEXICO,116 km,116154,1 hour 26 mins,5178
20,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA004832,OTZOLOAPAN,MEXICO,286 km,286379,4 hours 25 mins,15883
21,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA004996,POLOTITLÁN,MEXICO,83.4 km,83414,1 hour 5 mins,3874
22,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA005066,RAYÓN,MEXICO,217 km,216951,3 hours 0 mins,10782
23,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA008566,ZACAZONAPAN,MEXICO,296 km,296447,4 hours 18 mins,15468
24,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015304,ATLACOMULCO,MEXICO,135 km,135194,1 hour 49 mins,6560
25,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015333,JILOTEPEC,MEXICO,122 km,122003,1 hour 38 mins,5898
26,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015350,TENANGO DEL VALLE,MEXICO,223 km,222710,3 hours 7 mins,11234
27,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015490,TOLUCA,MEXICO,198 km,197764,2 hours 38 mins,9494
28,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015502,TOLUCA,MEXICO,202 km,202335,2 hours 51 mins,10234
29,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015572,TULTITLÁN,MEXICO,190 km,189597,2 hours 16 mins,8154
30,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015601,OTUMBA,MEXICO,231 km,231236,2 hours 44 mins,9821
31,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015630,AMECAMECA,MEXICO,274 km,273634,3 hours 17 mins,11810
32,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,219 km,219467,2 hours 36 mins,9349
33,QTSSA012096,QUERÉTARO,QUERETARO,MCSSA018371,TOLUCA,MEXICO,204 km,204382,2 hours 43 mins,9766
34,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA000352,ACULCO,MEXICO,104 km,103968,1 hour 25 mins,5071
35,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,265 km,265460,3 hours 45 mins,13482
36,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA003176,JILOTEPEC,MEXICO,117 km,117166,1 hour 27 mins,5216
37,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA004832,OTZOLOAPAN,MEXICO,287 km,287391,4 hours 25 mins,15921
38,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA004996,POLOTITLÁN,MEXICO,84.4 km,84425,1 hour 5 mins,3912
39,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA005066,RAYÓN,MEXICO,218 km,217963,3 hours 0 mins,10820
40,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA008566,ZACAZONAPAN,MEXICO,297 km,297458,4 hours 18 mins,15506
41,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA015304,ATLACOMULCO,MEXICO,136 km,136206,1 hour 50 mins,6599
42,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA015333,JILOTEPEC,MEXICO,123 km,123014,1 hour 39 mins,5936
43,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA015350,TENANGO DEL VALLE,MEXICO,224 km,223721,3 hours 8 mins,11272
44,QTSSA012101,QUERÉTARO,QUERETARO,MCSSA015490,TOLUCA,MEXICO,199 km,198776,2 hours 39 mins,9532
