,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,QTSSA002744,CORREGIDORA,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,192 km,191773,2 hours 28 mins,8858
1,QTSSA002744,CORREGIDORA,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,194 km,194187,2 hours 16 mins,8161
2,QTSSA012096,QUERÉTARO,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,190 km,189608,2 hours 29 mins,8945
3,QTSSA012096,QUERÉTARO,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,192 km,192022,2 hours 17 mins,8248
4,QTSSA012101,QUERÉTARO,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,195 km,194692,2 hours 35 mins,9306
5,QTSSA012101,QUERÉTARO,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,197 km,197106,2 hours 23 mins,8609
6,QTSSA012130,QUERÉTARO,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,195 km,194692,2 hours 35 mins,9306
7,QTSSA012130,QUERÉTARO,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,197 km,197106,2 hours 23 mins,8609
8,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,246 km,245543,3 hours 11 mins,11447
9,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,248 km,247957,2 hours 59 mins,10751
10,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,260 km,260101,3 hours 23 mins,12152
11,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,263 km,262515,3 hours 11 mins,11455
12,QTSSA012236,JALPAN DE SERRA,QUERETARO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,378 km,377863,5 hours 36 mins,20140
13,QTSSA012236,JALPAN DE SERRA,QUERETARO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,380 km,380277,5 hours 24 mins,19443
