,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,181 km,180564,2 hours 25 mins,8708
1,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,233 km,232937,2 hours 56 mins,10581
2,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,179 km,179434,2 hours 23 mins,8594
3,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,232 km,231807,2 hours 54 mins,10466
4,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,357 km,356636,4 hours 16 mins,15371
5,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,409 km,409009,4 hours 47 mins,17244
6,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,180 km,179509,2 hours 31 mins,9035
7,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,232 km,231882,3 hours 2 mins,10907
8,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,334 km,333540,4 hours 4 mins,14634
9,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,386 km,385913,4 hours 35 mins,16507
10,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,453 km,452502,5 hours 26 mins,19572
11,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,505 km,504875,5 hours 57 mins,21445
12,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,554 km,553965,7 hours 19 mins,26328
13,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,408 km,408462,6 hours 53 mins,24798
14,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,GTSSA016575,GUANAJUATO,GUANAJUATO,554 km,553915,7 hours 17 mins,26245
15,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,GTSSA016580,SALAMANCA,GUANAJUATO,408 km,408412,6 hours 52 mins,24715
