,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA003670,MEZQUITIC,JALISCO,359 km,359368,4 hours 52 mins,17503
1,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA008063,AMECA,JALISCO,415 km,414525,5 hours 1 min,18037
2,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012771,ZAPOPAN,JALISCO,341 km,341064,4 hours 5 mins,14718
3,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012783,COLOTLÁN,JALISCO,316 km,315598,4 hours 7 mins,14808
4,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012795,LAGOS DE MORENO,JALISCO,146 km,146199,1 hour 50 mins,6600
5,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,261 km,260772,3 hours 8 mins,11264
6,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012812,LA BARCA,JALISCO,340 km,339705,4 hours 12 mins,15101
7,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,493 km,492904,5 hours 52 mins,21108
8,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,458 km,457893,5 hours 14 mins,18810
9,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,521 km,520729,6 hours 38 mins,23864
10,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012853,PUERTO VALLARTA,JALISCO,659 km,658795,8 hours 38 mins,31082
11,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012865,AMECA,JALISCO,411 km,411382,4 hours 55 mins,17711
12,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012870,ZAPOPAN,JALISCO,340 km,340359,4 hours 1 min,14437
13,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012882,GUADALAJARA,JALISCO,328 km,328072,3 hours 53 mins,13999
14,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,329 km,329324,3 hours 55 mins,14117
15,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012906,GUADALAJARA,JALISCO,330 km,330316,3 hours 52 mins,13947
16,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA003670,MEZQUITIC,JALISCO,362 km,362022,4 hours 54 mins,17660
17,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA008063,AMECA,JALISCO,416 km,416379,5 hours 1 min,18070
18,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012771,ZAPOPAN,JALISCO,343 km,342918,4 hours 6 mins,14751
19,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012783,COLOTLÁN,JALISCO,318 km,318252,4 hours 9 mins,14965
20,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012795,LAGOS DE MORENO,JALISCO,148 km,148053,1 hour 51 mins,6633
21,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,263 km,262625,3 hours 8 mins,11297
22,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012812,LA BARCA,JALISCO,342 km,341559,4 hours 12 mins,15134
23,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,495 km,494758,5 hours 52 mins,21140
24,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,460 km,459747,5 hours 14 mins,18843
25,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,523 km,522583,6 hours 38 mins,23896
26,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012853,PUERTO VALLARTA,JALISCO,661 km,660649,8 hours 39 mins,31115
27,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012865,AMECA,JALISCO,413 km,413236,4 hours 56 mins,17744
28,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012870,ZAPOPAN,JALISCO,342 km,342213,4 hours 1 min,14470
29,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012882,GUADALAJARA,JALISCO,330 km,329926,3 hours 54 mins,14032
30,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,331 km,331178,3 hours 56 mins,14150
31,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,JCSSA012906,GUADALAJARA,JALISCO,332 km,332170,3 hours 53 mins,13980
32,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA003670,MEZQUITIC,JALISCO,485 km,485147,6 hours 14 mins,22437
33,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA008063,AMECA,JALISCO,608 km,607709,6 hours 59 mins,25121
34,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012771,ZAPOPAN,JALISCO,534 km,534249,6 hours 3 mins,21802
35,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012783,COLOTLÁN,JALISCO,441 km,441378,5 hours 29 mins,19742
36,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012795,LAGOS DE MORENO,JALISCO,339 km,339384,3 hours 48 mins,13685
37,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,454 km,453956,5 hours 6 mins,18348
38,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012812,LA BARCA,JALISCO,533 km,532890,6 hours 10 mins,22185
39,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,686 km,686089,7 hours 50 mins,28192
40,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,651 km,651077,7 hours 12 mins,25894
41,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,714 km,713913,8 hours 36 mins,30948
42,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012853,PUERTO VALLARTA,JALISCO,852 km,851979,10 hours 36 mins,38167
43,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012865,AMECA,JALISCO,605 km,604566,6 hours 53 mins,24795
44,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012870,ZAPOPAN,JALISCO,534 km,533544,5 hours 59 mins,21521
45,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012882,GUADALAJARA,JALISCO,521 km,521256,5 hours 51 mins,21083
46,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,523 km,522509,5 hours 53 mins,21201
47,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,JCSSA012906,GUADALAJARA,JALISCO,524 km,523500,5 hours 51 mins,21032
48,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA003670,MEZQUITIC,JALISCO,370 km,370090,4 hours 57 mins,17791
49,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA008063,AMECA,JALISCO,419 km,419364,5 hours 6 mins,18340
50,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012771,ZAPOPAN,JALISCO,346 km,345903,4 hours 10 mins,15020
51,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012783,COLOTLÁN,JALISCO,326 km,326321,4 hours 12 mins,15096
52,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012795,LAGOS DE MORENO,JALISCO,151 km,151038,1 hour 55 mins,6903
53,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,266 km,265610,3 hours 13 mins,11567
54,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012812,LA BARCA,JALISCO,345 km,344544,4 hours 17 mins,15403
55,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,498 km,497743,5 hours 57 mins,21410
56,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,463 km,462732,5 hours 19 mins,19112
57,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,526 km,525568,6 hours 43 mins,24166
58,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012853,PUERTO VALLARTA,JALISCO,664 km,663634,8 hours 43 mins,31385
59,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012865,AMECA,JALISCO,416 km,416221,5 hours 0 mins,18014
60,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012870,ZAPOPAN,JALISCO,345 km,345198,4 hours 6 mins,14739
61,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012882,GUADALAJARA,JALISCO,333 km,332911,3 hours 58 mins,14302
62,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,334 km,334163,4 hours 0 mins,14420
63,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,JCSSA012906,GUADALAJARA,JALISCO,335 km,335155,3 hours 58 mins,14250
64,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA003670,MEZQUITIC,JALISCO,525 km,525112,6 hours 32 mins,23545
65,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA008063,AMECA,JALISCO,585 km,584613,6 hours 46 mins,24385
66,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA012771,ZAPOPAN,JALISCO,511 km,511153,5 hours 51 mins,21065
67,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA012783,COLOTLÁN,JALISCO,481 km,481343,5 hours 48 mins,20850
68,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA012795,LAGOS DE MORENO,JALISCO,316 km,316288,3 hours 36 mins,12948
69,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,431 km,430860,4 hours 54 mins,17612
70,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,JCSSA012812,LA BARCA,JALISCO,510 km,509794,5 hours 57 mins,21448
