,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA002744,CORREGIDORA,QUERETARO,213 km,212662,2 hours 24 mins,8622
1,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012096,QUERÉTARO,QUERETARO,208 km,207927,2 hours 24 mins,8650
2,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012101,QUERÉTARO,QUERETARO,204 km,203728,2 hours 17 mins,8232
3,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012130,QUERÉTARO,QUERETARO,204 km,203728,2 hours 17 mins,8232
4,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,255 km,254974,2 hours 55 mins,10478
5,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,273 km,273097,3 hours 11 mins,11452
6,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012236,JALPAN DE SERRA,QUERETARO,279 km,279265,3 hours 47 mins,13648
7,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA002744,CORREGIDORA,QUERETARO,212 km,211532,2 hours 22 mins,8508
8,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012096,QUERÉTARO,QUERETARO,207 km,206797,2 hours 22 mins,8536
9,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012101,QUERÉTARO,QUERETARO,203 km,202598,2 hours 15 mins,8118
10,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012130,QUERÉTARO,QUERETARO,203 km,202598,2 hours 15 mins,8118
11,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,254 km,253845,2 hours 53 mins,10364
12,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,272 km,271968,3 hours 9 mins,11338
13,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,QTSSA012236,JALPAN DE SERRA,QUERETARO,278 km,277681,3 hours 45 mins,13516
14,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA002744,CORREGIDORA,QUERETARO,389 km,388734,4 hours 15 mins,15285
15,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA012096,QUERÉTARO,QUERETARO,384 km,383999,4 hours 15 mins,15313
16,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA012101,QUERÉTARO,QUERETARO,380 km,379800,4 hours 8 mins,14895
17,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA012130,QUERÉTARO,QUERETARO,380 km,379800,4 hours 8 mins,14895
18,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA012171,SAN JUAN DEL RÍO,QUERETARO,431 km,431046,4 hours 46 mins,17141
19,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA012212,CADEREYTA DE MONTES,QUERETARO,449 km,449170,5 hours 2 mins,18115
20,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,QTSSA012236,JALPAN DE SERRA,QUERETARO,340 km,339666,4 hours 20 mins,15580
21,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,QTSSA002744,CORREGIDORA,QUERETARO,212 km,211607,2 hours 29 mins,8949
22,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,QTSSA012096,QUERÉTARO,QUERETARO,207 km,206872,2 hours 30 mins,8977
