,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,705 km,705006,7 hours 56 mins,28537
1,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,409 km,409460,5 hours 2 mins,18108
2,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,637 km,637133,7 hours 2 mins,25299
3,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,616 km,615664,6 hours 58 mins,25096
4,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,704 km,703884,7 hours 52 mins,28342
5,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,663 km,662625,7 hours 17 mins,26247
6,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015015,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,663 km,662625,7 hours 17 mins,26247
7,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015032,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,663 km,662625,7 hours 17 mins,26247
8,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015044,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,663 km,662625,7 hours 17 mins,26247
9,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015056,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,663 km,662625,7 hours 17 mins,26247
10,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015073,CÓRDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,685 km,685262,7 hours 33 mins,27202
11,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015090,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,668 km,667987,7 hours 24 mins,26610
12,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015126,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,769 km,768794,8 hours 35 mins,30877
13,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015184,COSAMALOAPAN DE CARPIO,VERACRUZ DE IGNACIO DE LA LLAVE,826 km,825656,9 hours 6 mins,32730
14,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,VZSSA015201,SAN ANDRÉS TUXTLA,VERACRUZ DE IGNACIO DE LA LLAVE,936 km,936038,10 hours 17 mins,37048
