,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SLSSA002590,CULIACÁN,SINALOA,DGSSA017144,DURANGO,DURANGO,464 km,463509,5 hours 46 mins,20773
1,SLSSA002590,CULIACÁN,SINALOA,DGSSA017156,DURANGO,DURANGO,462 km,462433,5 hours 45 mins,20671
2,SLSSA002590,CULIACÁN,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,687 km,686987,8 hours 0 mins,28818
3,SLSSA002590,CULIACÁN,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,618 km,618423,7 hours 49 mins,28146
4,SLSSA002590,CULIACÁN,SINALOA,DGSSA017185,RODEO,DURANGO,607 km,607052,7 hours 36 mins,27373
5,SLSSA017320,CHOIX,SINALOA,DGSSA017144,DURANGO,DURANGO,793 km,792870,9 hours 45 mins,35094
6,SLSSA017320,CHOIX,SINALOA,DGSSA017156,DURANGO,DURANGO,792 km,791794,9 hours 43 mins,34992
7,SLSSA017320,CHOIX,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,"1,016 km",1016348,11 hours 59 mins,43140
8,SLSSA017320,CHOIX,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,948 km,947784,11 hours 48 mins,42467
9,SLSSA017320,CHOIX,SINALOA,DGSSA017185,RODEO,DURANGO,936 km,936413,11 hours 35 mins,41695
10,SLSSA017344,SINALOA,SINALOA,DGSSA017144,DURANGO,DURANGO,633 km,632574,7 hours 52 mins,28329
11,SLSSA017344,SINALOA,SINALOA,DGSSA017156,DURANGO,DURANGO,631 km,631497,7 hours 50 mins,28227
12,SLSSA017344,SINALOA,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,856 km,856052,10 hours 6 mins,36374
13,SLSSA017344,SINALOA,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,787 km,787487,9 hours 55 mins,35702
14,SLSSA017344,SINALOA,SINALOA,DGSSA017185,RODEO,DURANGO,776 km,776116,9 hours 42 mins,34929
15,SLSSA017373,SALVADOR ALVARADO,SINALOA,DGSSA017144,DURANGO,DURANGO,578 km,577877,7 hours 2 mins,25326
16,SLSSA017373,SALVADOR ALVARADO,SINALOA,DGSSA017156,DURANGO,DURANGO,577 km,576801,7 hours 0 mins,25224
17,SLSSA017373,SALVADOR ALVARADO,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,801 km,801355,9 hours 16 mins,33371
18,SLSSA017373,SALVADOR ALVARADO,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,733 km,732791,9 hours 5 mins,32699
19,SLSSA017373,SALVADOR ALVARADO,SINALOA,DGSSA017185,RODEO,DURANGO,721 km,721420,8 hours 52 mins,31926
20,SLSSA017414,BADIRAGUATO,SINALOA,DGSSA017144,DURANGO,DURANGO,552 km,551617,7 hours 10 mins,25801
21,SLSSA017414,BADIRAGUATO,SINALOA,DGSSA017156,DURANGO,DURANGO,551 km,550541,7 hours 8 mins,25699
22,SLSSA017414,BADIRAGUATO,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,775 km,775095,9 hours 24 mins,33847
23,SLSSA017414,BADIRAGUATO,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,707 km,706531,9 hours 13 mins,33174
24,SLSSA017414,BADIRAGUATO,SINALOA,DGSSA017185,RODEO,DURANGO,695 km,695160,9 hours 0 mins,32402
25,SLSSA017426,COSALÁ,SINALOA,DGSSA017144,DURANGO,DURANGO,422 km,422466,6 hours 3 mins,21755
26,SLSSA017426,COSALÁ,SINALOA,DGSSA017156,DURANGO,DURANGO,421 km,421389,6 hours 1 min,21653
27,SLSSA017426,COSALÁ,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,646 km,645944,8 hours 17 mins,29801
28,SLSSA017426,COSALÁ,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,577 km,577380,8 hours 5 mins,29129
29,SLSSA017426,COSALÁ,SINALOA,DGSSA017185,RODEO,DURANGO,566 km,566008,7 hours 53 mins,28356
30,SLSSA017431,CULIACÁN,SINALOA,DGSSA017144,DURANGO,DURANGO,475 km,474918,6 hours 5 mins,21912
31,SLSSA017431,CULIACÁN,SINALOA,DGSSA017156,DURANGO,DURANGO,474 km,473842,6 hours 4 mins,21810
32,SLSSA017431,CULIACÁN,SINALOA,DGSSA017161,GÓMEZ PALACIO,DURANGO,698 km,698396,8 hours 19 mins,29957
33,SLSSA017431,CULIACÁN,SINALOA,DGSSA017173,SANTIAGO PAPASQUIARO,DURANGO,630 km,629832,8 hours 8 mins,29285
34,SLSSA017431,CULIACÁN,SINALOA,DGSSA017185,RODEO,DURANGO,618 km,618461,7 hours 55 mins,28512
