,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,"1,124 km",1124053,12 hours 30 mins,44993
1,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,"1,337 km",1336796,12 hours 24 mins,44668
2,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,"1,348 km",1347949,14 hours 56 mins,53758
3,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,992 km,992212,11 hours 26 mins,41173
4,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,829 km,829195,9 hours 2 mins,32527
5,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,"1,277 km",1276703,14 hours 40 mins,52792
6,SRSSA017503,HERMOSILLO,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,895 km,894581,11 hours 18 mins,40680
7,SRSSA017503,HERMOSILLO,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,"1,248 km",1248281,12 hours 42 mins,45708
8,SRSSA017503,HERMOSILLO,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,849 km,848784,13 hours 54 mins,50017
9,SRSSA017503,HERMOSILLO,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,763 km,762740,10 hours 14 mins,36860
10,SRSSA017503,HERMOSILLO,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,600 km,599724,7 hours 50 mins,28214
11,SRSSA017503,HERMOSILLO,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,553 km,553053,11 hours 5 mins,39916
12,SRSSA017520,HERMOSILLO,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,895 km,895301,11 hours 17 mins,40604
13,SRSSA017520,HERMOSILLO,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,"1,249 km",1249002,12 hours 41 mins,45632
14,SRSSA017520,HERMOSILLO,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,839 km,839225,13 hours 37 mins,49017
15,SRSSA017520,HERMOSILLO,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,763 km,763460,10 hours 13 mins,36784
16,SRSSA017520,HERMOSILLO,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,600 km,600444,7 hours 49 mins,28138
17,SRSSA017520,HERMOSILLO,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,543 km,543494,10 hours 49 mins,38915
18,SRSSA017544,HERMOSILLO,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,892 km,891741,11 hours 12 mins,40329
19,SRSSA017544,HERMOSILLO,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,"1,245 km",1245441,12 hours 36 mins,45358
20,SRSSA017544,HERMOSILLO,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,844 km,844119,13 hours 46 mins,49548
21,SRSSA017544,HERMOSILLO,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,760 km,759900,10 hours 9 mins,36510
22,SRSSA017544,HERMOSILLO,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,597 km,596883,7 hours 44 mins,27864
23,SRSSA017544,HERMOSILLO,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,548 km,548387,10 hours 57 mins,39446
24,SRSSA017561,CABORCA,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,827 km,827212,10 hours 38 mins,38273
25,SRSSA017561,CABORCA,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,"1,178 km",1177826,11 hours 54 mins,42845
26,SRSSA017561,CABORCA,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,"1,051 km",1051108,13 hours 4 mins,47038
27,SRSSA017561,CABORCA,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,695 km,695343,9 hours 33 mins,34354
28,SRSSA017561,CABORCA,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,532 km,532354,7 hours 10 mins,25807
29,SRSSA017561,CABORCA,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,980 km,979863,12 hours 48 mins,46072
30,SRSSA017585,SANTA ANA,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,721 km,720826,9 hours 21 mins,33650
31,SRSSA017585,SANTA ANA,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,"1,075 km",1074527,10 hours 45 mins,38678
32,SRSSA017585,SANTA ANA,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,945 km,944723,11 hours 47 mins,42415
33,SRSSA017585,SANTA ANA,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,589 km,588985,8 hours 17 mins,29830
34,SRSSA017585,SANTA ANA,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,426 km,425969,5 hours 53 mins,21184
35,SRSSA017585,SANTA ANA,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,873 km,873477,11 hours 31 mins,41449
36,SRSSA017626,CAJEME,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,635 km,635340,11 hours 15 mins,40498
37,SRSSA017626,CAJEME,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,873 km,872900,13 hours 48 mins,49662
38,SRSSA017626,CAJEME,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,782 km,782401,12 hours 45 mins,45915
39,SRSSA017626,CAJEME,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,610 km,609875,11 hours 3 mins,39750
40,SRSSA017626,CAJEME,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,851 km,850686,10 hours 21 mins,37275
41,SRSSA017626,CAJEME,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,487 km,486670,9 hours 57 mins,35814
42,SRSSA017643,NAVOJOA,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,701 km,701365,11 hours 50 mins,42583
43,SRSSA017643,NAVOJOA,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,939 km,938925,14 hours 22 mins,51748
44,SRSSA017643,NAVOJOA,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,848 km,848427,13 hours 20 mins,48001
45,SRSSA017643,NAVOJOA,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,676 km,675901,11 hours 37 mins,41835
46,SRSSA017643,NAVOJOA,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,920 km,920387,10 hours 57 mins,39393
47,SRSSA017643,NAVOJOA,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,553 km,552695,10 hours 32 mins,37899
48,SRSSA017655,NAVOJOA,SONORA,CHSSA017441,CHIHUAHUA,CHIHUAHUA,705 km,704630,11 hours 57 mins,43026
49,SRSSA017655,NAVOJOA,SONORA,CHSSA017511,OJINAGA,CHIHUAHUA,942 km,942190,14 hours 30 mins,52190
50,SRSSA017655,NAVOJOA,SONORA,CHSSA017564,HIDALGO DEL PARRAL,CHIHUAHUA,852 km,851692,13 hours 27 mins,48443
51,SRSSA017655,NAVOJOA,SONORA,CHSSA017593,GÓMEZ FARÍAS,CHIHUAHUA,679 km,679166,11 hours 45 mins,42278
52,SRSSA017655,NAVOJOA,SONORA,CHSSA017610,NUEVO CASAS GRANDES,CHIHUAHUA,924 km,923652,11 hours 4 mins,39836
53,SRSSA017655,NAVOJOA,SONORA,CHSSA017651,BOCOYNA,CHIHUAHUA,556 km,555960,10 hours 39 mins,38342
