,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA002590,CULIACÁN,SINALOA,"1,321 km",1320594,14 hours 30 mins,52171
1,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA017320,CHOIX,SINALOA,"1,162 km",1162077,13 hours 5 mins,47079
2,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA017344,SINALOA,SINALOA,"1,212 km",1212125,13 hours 40 mins,49183
3,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA017373,SALVADOR ALVARADO,SINALOA,"1,213 km",1212644,13 hours 28 mins,48483
4,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA017414,BADIRAGUATO,SINALOA,"1,309 km",1308928,14 hours 46 mins,53182
5,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA017426,COSALÁ,SINALOA,"1,480 km",1479806,16 hours 47 mins,60392
6,SRSSA006302,SAN LUIS RÍO COLORADO,SONORA,SLSSA017431,CULIACÁN,SINALOA,"1,320 km",1320297,14 hours 48 mins,53287
7,SRSSA017503,HERMOSILLO,SONORA,SLSSA002590,CULIACÁN,SINALOA,695 km,695011,7 hours 50 mins,28195
8,SRSSA017503,HERMOSILLO,SONORA,SLSSA017320,CHOIX,SINALOA,536 km,536494,6 hours 25 mins,23103
9,SRSSA017503,HERMOSILLO,SONORA,SLSSA017344,SINALOA,SINALOA,587 km,586542,7 hours 0 mins,25207
10,SRSSA017503,HERMOSILLO,SONORA,SLSSA017373,SALVADOR ALVARADO,SINALOA,587 km,587061,6 hours 48 mins,24507
11,SRSSA017503,HERMOSILLO,SONORA,SLSSA017414,BADIRAGUATO,SINALOA,683 km,683345,8 hours 7 mins,29206
12,SRSSA017503,HERMOSILLO,SONORA,SLSSA017426,COSALÁ,SINALOA,854 km,854223,10 hours 7 mins,36416
13,SRSSA017503,HERMOSILLO,SONORA,SLSSA017431,CULIACÁN,SINALOA,695 km,694713,8 hours 9 mins,29311
14,SRSSA017520,HERMOSILLO,SONORA,SLSSA002590,CULIACÁN,SINALOA,686 km,685563,7 hours 33 mins,27182
15,SRSSA017520,HERMOSILLO,SONORA,SLSSA017320,CHOIX,SINALOA,527 km,527046,6 hours 8 mins,22090
16,SRSSA017520,HERMOSILLO,SONORA,SLSSA017344,SINALOA,SINALOA,577 km,577094,6 hours 43 mins,24193
17,SRSSA017520,HERMOSILLO,SONORA,SLSSA017373,SALVADOR ALVARADO,SINALOA,578 km,577613,6 hours 32 mins,23494
18,SRSSA017520,HERMOSILLO,SONORA,SLSSA017414,BADIRAGUATO,SINALOA,674 km,673897,7 hours 50 mins,28192
19,SRSSA017520,HERMOSILLO,SONORA,SLSSA017426,COSALÁ,SINALOA,845 km,844775,9 hours 50 mins,35402
20,SRSSA017520,HERMOSILLO,SONORA,SLSSA017431,CULIACÁN,SINALOA,685 km,685265,7 hours 52 mins,28298
21,SRSSA017544,HERMOSILLO,SONORA,SLSSA002590,CULIACÁN,SINALOA,691 km,691048,7 hours 41 mins,27683
22,SRSSA017544,HERMOSILLO,SONORA,SLSSA017320,CHOIX,SINALOA,533 km,532531,6 hours 17 mins,22591
23,SRSSA017544,HERMOSILLO,SONORA,SLSSA017344,SINALOA,SINALOA,583 km,582579,6 hours 52 mins,24695
24,SRSSA017544,HERMOSILLO,SONORA,SLSSA017373,SALVADOR ALVARADO,SINALOA,583 km,583098,6 hours 40 mins,23995
25,SRSSA017544,HERMOSILLO,SONORA,SLSSA017414,BADIRAGUATO,SINALOA,679 km,679382,7 hours 58 mins,28694
26,SRSSA017544,HERMOSILLO,SONORA,SLSSA017426,COSALÁ,SINALOA,850 km,850260,9 hours 58 mins,35904
27,SRSSA017544,HERMOSILLO,SONORA,SLSSA017431,CULIACÁN,SINALOA,691 km,690751,8 hours 0 mins,28799
28,SRSSA017561,CABORCA,SONORA,SLSSA002590,CULIACÁN,SINALOA,970 km,970308,10 hours 31 mins,37877
