,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,TCSSA006372,HUIMANGUILLO,TABASCO,CCSSA017345,CAMPECHE,CAMPECHE,449 km,449155,6 hours 30 mins,23378
1,TCSSA006372,HUIMANGUILLO,TABASCO,CCSSA017350,CAMPECHE,CAMPECHE,449 km,449155,6 hours 30 mins,23378
2,TCSSA006372,HUIMANGUILLO,TABASCO,CCSSA017362,ESCÁRCEGA,CAMPECHE,367 km,367280,4 hours 52 mins,17535
3,TCSSA006372,HUIMANGUILLO,TABASCO,CCSSA017374,CARMEN,CAMPECHE,243 km,242673,3 hours 39 mins,13124
4,TCSSA006396,MACUSPANA,TABASCO,CCSSA017345,CAMPECHE,CAMPECHE,405 km,405255,5 hours 35 mins,20076
5,TCSSA006396,MACUSPANA,TABASCO,CCSSA017350,CAMPECHE,CAMPECHE,405 km,405255,5 hours 35 mins,20076
6,TCSSA006396,MACUSPANA,TABASCO,CCSSA017362,ESCÁRCEGA,CAMPECHE,258 km,258159,3 hours 29 mins,12534
7,TCSSA006396,MACUSPANA,TABASCO,CCSSA017374,CARMEN,CAMPECHE,218 km,217978,3 hours 16 mins,11739
8,TCSSA016383,BALANCÁN,TABASCO,CCSSA017345,CAMPECHE,CAMPECHE,323 km,322794,4 hours 37 mins,16612
9,TCSSA016383,BALANCÁN,TABASCO,CCSSA017350,CAMPECHE,CAMPECHE,323 km,322794,4 hours 37 mins,16612
10,TCSSA016383,BALANCÁN,TABASCO,CCSSA017362,ESCÁRCEGA,CAMPECHE,176 km,175698,2 hours 31 mins,9070
11,TCSSA016383,BALANCÁN,TABASCO,CCSSA017374,CARMEN,CAMPECHE,288 km,287962,4 hours 8 mins,14895
12,TCSSA016400,CÁRDENAS,TABASCO,CCSSA017345,CAMPECHE,CAMPECHE,432 km,431583,6 hours 10 mins,22219
13,TCSSA016400,CÁRDENAS,TABASCO,CCSSA017350,CAMPECHE,CAMPECHE,432 km,431583,6 hours 10 mins,22219
14,TCSSA016400,CÁRDENAS,TABASCO,CCSSA017362,ESCÁRCEGA,CAMPECHE,350 km,349708,4 hours 33 mins,16377
15,TCSSA016400,CÁRDENAS,TABASCO,CCSSA017374,CARMEN,CAMPECHE,225 km,225101,3 hours 19 mins,11966
