,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,176 km,175686,2 hours 43 mins,9775
1,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,183 km,183250,2 hours 56 mins,10577
2,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,241 km,241443,3 hours 46 mins,13566
3,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,327 km,326549,5 hours 21 mins,19284
4,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017365,VILLAFLORES,CHIAPAS,241 km,240773,3 hours 41 mins,13282
5,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017370,PICHUCALCO,CHIAPAS,65.9 km,65900,1 hour 39 mins,5917
6,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017382,PALENQUE,CHIAPAS,211 km,210831,3 hours 5 mins,11073
7,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017394,TAPACHULA,CHIAPAS,502 km,501756,7 hours 3 mins,25395
8,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017406,TONALÁ,CHIAPAS,280 km,279585,3 hours 57 mins,14204
9,TCSSA006372,HUIMANGUILLO,TABASCO,CSSSA017411,OCOSINGO,CHIAPAS,287 km,287238,5 hours 38 mins,20272
10,TCSSA006396,MACUSPANA,TABASCO,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,293 km,292845,4 hours 21 mins,15681
11,TCSSA006396,MACUSPANA,TABASCO,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,300 km,300409,4 hours 35 mins,16483
12,TCSSA006396,MACUSPANA,TABASCO,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,359 km,358602,5 hours 25 mins,19473
13,TCSSA006396,MACUSPANA,TABASCO,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,276 km,276432,6 hours 38 mins,23897
14,TCSSA006396,MACUSPANA,TABASCO,CSSSA017365,VILLAFLORES,CHIAPAS,358 km,357932,5 hours 20 mins,19188
15,TCSSA006396,MACUSPANA,TABASCO,CSSSA017370,PICHUCALCO,CHIAPAS,86.3 km,86331,1 hour 37 mins,5821
16,TCSSA006396,MACUSPANA,TABASCO,CSSSA017382,PALENQUE,CHIAPAS,102 km,101710,1 hour 41 mins,6072
17,TCSSA006396,MACUSPANA,TABASCO,CSSSA017394,TAPACHULA,CHIAPAS,619 km,618915,8 hours 42 mins,31301
18,TCSSA006396,MACUSPANA,TABASCO,CSSSA017406,TONALÁ,CHIAPAS,397 km,396744,5 hours 35 mins,20110
19,TCSSA006396,MACUSPANA,TABASCO,CSSSA017411,OCOSINGO,CHIAPAS,178 km,178117,4 hours 15 mins,15271
20,TCSSA016383,BALANCÁN,TABASCO,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,428 km,428458,6 hours 24 mins,23018
21,TCSSA016383,BALANCÁN,TABASCO,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,436 km,436022,6 hours 37 mins,23820
22,TCSSA016383,BALANCÁN,TABASCO,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,305 km,304635,6 hours 30 mins,23405
23,TCSSA016383,BALANCÁN,TABASCO,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,311 km,311075,6 hours 47 mins,24429
24,TCSSA016383,BALANCÁN,TABASCO,CSSSA017365,VILLAFLORES,CHIAPAS,494 km,493545,7 hours 22 mins,26525
25,TCSSA016383,BALANCÁN,TABASCO,CSSSA017370,PICHUCALCO,CHIAPAS,222 km,221944,3 hours 39 mins,13158
26,TCSSA016383,BALANCÁN,TABASCO,CSSSA017382,PALENQUE,CHIAPAS,102 km,101735,1 hour 55 mins,6875
27,TCSSA016383,BALANCÁN,TABASCO,CSSSA017394,TAPACHULA,CHIAPAS,755 km,754528,10 hours 44 mins,38637
28,TCSSA016383,BALANCÁN,TABASCO,CSSSA017406,TONALÁ,CHIAPAS,532 km,532357,7 hours 37 mins,27447
29,TCSSA016383,BALANCÁN,TABASCO,CSSSA017411,OCOSINGO,CHIAPAS,213 km,212760,4 hours 23 mins,15803
30,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,195 km,195233,3 hours 1 min,10861
31,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,203 km,202797,3 hours 14 mins,11663
32,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,261 km,260990,4 hours 4 mins,14652
33,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,346 km,346095,5 hours 40 mins,20370
34,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017365,VILLAFLORES,CHIAPAS,260 km,260320,3 hours 59 mins,14368
35,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017370,PICHUCALCO,CHIAPAS,96.4 km,96413,1 hour 42 mins,6141
36,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017382,PALENQUE,CHIAPAS,193 km,193259,2 hours 45 mins,9915
37,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017394,TAPACHULA,CHIAPAS,521 km,521303,7 hours 21 mins,26480
38,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017406,TONALÁ,CHIAPAS,299 km,299132,4 hours 15 mins,15290
39,TCSSA016400,CÁRDENAS,TABASCO,CSSSA017411,OCOSINGO,CHIAPAS,270 km,269666,5 hours 19 mins,19114
40,TCSSA016424,CENTLA,TABASCO,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,321 km,321421,4 hours 37 mins,16636
41,TCSSA016424,CENTLA,TABASCO,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,329 km,328985,4 hours 51 mins,17438
42,TCSSA016424,CENTLA,TABASCO,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,387 km,387178,5 hours 40 mins,20428
43,TCSSA016424,CENTLA,TABASCO,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,472 km,472284,7 hours 16 mins,26145
44,TCSSA016424,CENTLA,TABASCO,CSSSA017365,VILLAFLORES,CHIAPAS,387 km,386508,5 hours 36 mins,20143
45,TCSSA016424,CENTLA,TABASCO,CSSSA017370,PICHUCALCO,CHIAPAS,158 km,158295,2 hours 21 mins,8472
46,TCSSA016424,CENTLA,TABASCO,CSSSA017382,PALENQUE,CHIAPAS,221 km,221053,3 hours 6 mins,11133
47,TCSSA016424,CENTLA,TABASCO,CSSSA017394,TAPACHULA,CHIAPAS,647 km,647491,8 hours 58 mins,32256
48,TCSSA016424,CENTLA,TABASCO,CSSSA017406,TONALÁ,CHIAPAS,425 km,425321,5 hours 51 mins,21065
49,TCSSA016424,CENTLA,TABASCO,CSSSA017411,OCOSINGO,CHIAPAS,297 km,297461,5 hours 39 mins,20332
50,TCSSA016453,CENTRO,TABASCO,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,240 km,239986,3 hours 39 mins,13113
51,TCSSA016453,CENTRO,TABASCO,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,248 km,247550,3 hours 52 mins,13915
52,TCSSA016453,CENTRO,TABASCO,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,306 km,305743,4 hours 42 mins,16905
53,TCSSA016453,CENTRO,TABASCO,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,391 km,390848,6 hours 17 mins,22623
54,TCSSA016453,CENTRO,TABASCO,CSSSA017365,VILLAFLORES,CHIAPAS,305 km,305073,4 hours 37 mins,16620
55,TCSSA016453,CENTRO,TABASCO,CSSSA017370,PICHUCALCO,CHIAPAS,79.1 km,79060,1 hour 23 mins,4975
56,TCSSA016453,CENTRO,TABASCO,CSSSA017382,PALENQUE,CHIAPAS,147 km,146795,2 hours 12 mins,7909
57,TCSSA016453,CENTRO,TABASCO,CSSSA017394,TAPACHULA,CHIAPAS,566 km,566056,7 hours 59 mins,28733
58,TCSSA016453,CENTRO,TABASCO,CSSSA017406,TONALÁ,CHIAPAS,344 km,343885,4 hours 52 mins,17542
