,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,328 km,328334,4 hours 5 mins,14684
1,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,325 km,325301,3 hours 59 mins,14365
2,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,249 km,248520,3 hours 35 mins,12906
3,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,327 km,326873,4 hours 4 mins,14634
4,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,302 km,302162,3 hours 40 mins,13227
5,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,232 km,231772,3 hours 28 mins,12509
6,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,335 km,334985,5 hours 33 mins,19968
7,TSSSA017704,VICTORIA,TAMAULIPAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,335 km,334934,5 hours 31 mins,19883
8,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,429 km,429375,5 hours 23 mins,19402
9,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,426 km,426343,5 hours 18 mins,19083
10,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,489 km,488599,5 hours 55 mins,21276
11,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,428 km,427915,5 hours 23 mins,19352
12,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,266 km,265933,3 hours 41 mins,13257
13,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,150 km,149882,2 hours 21 mins,8448
14,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,227 km,226727,3 hours 57 mins,14206
15,TSSSA017716,TAMPICO,TAMAULIPAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,227 km,226676,3 hours 55 mins,14120
16,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,648 km,648136,7 hours 44 mins,27854
17,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,645 km,645104,7 hours 39 mins,27535
18,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,573 km,573043,7 hours 10 mins,25820
19,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,647 km,646675,7 hours 43 mins,27804
20,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,622 km,621965,7 hours 20 mins,26396
21,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,553 km,553379,7 hours 3 mins,25369
22,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,656 km,656123,8 hours 59 mins,32317
23,TSSSA017721,MATAMOROS,TAMAULIPAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,656 km,656072,8 hours 57 mins,32232
24,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,656 km,656468,7 hours 49 mins,28165
25,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,653 km,653435,7 hours 44 mins,27846
26,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,483 km,482943,6 hours 11 mins,22242
27,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,655 km,655007,7 hours 49 mins,28115
28,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,630 km,630296,7 hours 25 mins,26707
29,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,562 km,561710,7 hours 8 mins,25680
30,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,664 km,664454,9 hours 4 mins,32628
31,TSSSA017733,REYNOSA,TAMAULIPAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,664 km,664404,9 hours 2 mins,32543
32,TSSSA017745,NUEVO LAREDO,TAMAULIPAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,721 km,721459,8 hours 2 mins,28935
33,TSSSA017745,NUEVO LAREDO,TAMAULIPAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,718 km,718427,7 hours 57 mins,28616
34,TSSSA017745,NUEVO LAREDO,TAMAULIPAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,532 km,532244,6 hours 2 mins,21705
