,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,545 km,545492,7 hours 19 mins,26336
1,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,286 km,286128,4 hours 3 mins,14605
2,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,412 km,412147,5 hours 36 mins,20186
3,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,466 km,465909,6 hours 30 mins,23403
4,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,544 km,544370,7 hours 16 mins,26142
5,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,668 km,668431,9 hours 40 mins,34775
6,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015015,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,668 km,668431,9 hours 40 mins,34775
7,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015032,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,668 km,668431,9 hours 40 mins,34775
8,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015044,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,668 km,668431,9 hours 40 mins,34775
9,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015056,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,668 km,668431,9 hours 40 mins,34775
10,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015073,CÓRDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,817 km,816750,10 hours 59 mins,39554
11,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015090,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,843 km,842752,10 hours 50 mins,38988
12,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015126,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,709 km,709084,9 hours 51 mins,35452
13,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015184,COSAMALOAPAN DE CARPIO,VERACRUZ DE IGNACIO DE LA LLAVE,848 km,847642,11 hours 14 mins,40421
14,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015201,SAN ANDRÉS TUXTLA,VERACRUZ DE IGNACIO DE LA LLAVE,958 km,958024,12 hours 26 mins,44740
15,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015242,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,"1,013 km",1012677,13 hours 5 mins,47096
16,TSSSA017704,VICTORIA,TAMAULIPAS,VZSSA015254,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,"1,013 km",1012677,13 hours 5 mins,47096
17,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,303 km,303135,4 hours 4 mins,14667
18,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,52.3 km,52333,1 hour 3 mins,3755
19,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,170 km,169790,2 hours 22 mins,8517
20,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,224 km,223552,3 hours 16 mins,11734
21,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,302 km,302014,4 hours 1 min,14472
22,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,426 km,426075,6 hours 25 mins,23105
23,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015015,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,426 km,426075,6 hours 25 mins,23105
24,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015032,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,426 km,426075,6 hours 25 mins,23105
25,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015044,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,426 km,426075,6 hours 25 mins,23105
26,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015056,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,426 km,426075,6 hours 25 mins,23105
27,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015073,CÓRDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,574 km,574393,7 hours 45 mins,27885
28,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015090,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,600 km,600395,7 hours 35 mins,27319
29,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015126,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,467 km,466727,6 hours 36 mins,23783
30,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015184,COSAMALOAPAN DE CARPIO,VERACRUZ DE IGNACIO DE LA LLAVE,605 km,605286,7 hours 59 mins,28752
31,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015201,SAN ANDRÉS TUXTLA,VERACRUZ DE IGNACIO DE LA LLAVE,716 km,715667,9 hours 11 mins,33071
32,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015242,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,770 km,770320,9 hours 50 mins,35427
33,TSSSA017716,TAMPICO,TAMAULIPAS,VZSSA015254,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,770 km,770320,9 hours 50 mins,35427
34,TSSSA017721,MATAMOROS,TAMAULIPAS,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,794 km,793980,10 hours 10 mins,36574
35,TSSSA017721,MATAMOROS,TAMAULIPAS,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,531 km,531093,6 hours 58 mins,25065
36,TSSSA017721,MATAMOROS,TAMAULIPAS,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,661 km,660635,8 hours 27 mins,30424
37,TSSSA017721,MATAMOROS,TAMAULIPAS,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,714 km,714396,9 hours 21 mins,33640
38,TSSSA017721,MATAMOROS,TAMAULIPAS,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,793 km,792858,10 hours 6 mins,36379
39,TSSSA017721,MATAMOROS,TAMAULIPAS,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,917 km,916919,12 hours 30 mins,45012
