,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,TLSSA017605,APIZACO,TLAXCALA,PLSSA006306,CUAUTLANCINGO,PUEBLA,45.2 km,45209,49 mins,2937
1,TLSSA017605,APIZACO,TLAXCALA,PLSSA014794,HUAUCHINANGO,PUEBLA,105 km,105406,1 hour 32 mins,5514
2,TLSSA017605,APIZACO,TLAXCALA,PLSSA014806,CHIGNAHUAPAN,PUEBLA,63.2 km,63248,56 mins,3351
3,TLSSA017605,APIZACO,TLAXCALA,PLSSA014811,ZACAPOAXTLA,PUEBLA,127 km,126922,1 hour 55 mins,6900
4,TLSSA017605,APIZACO,TLAXCALA,PLSSA014823,ZACAPOAXTLA,PUEBLA,127 km,126922,1 hour 55 mins,6900
5,TLSSA017605,APIZACO,TLAXCALA,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,74.2 km,74219,1 hour 8 mins,4080
6,TLSSA017605,APIZACO,TLAXCALA,PLSSA014840,HUEJOTZINGO,PUEBLA,60.3 km,60307,1 hour 0 mins,3595
7,TLSSA017605,APIZACO,TLAXCALA,PLSSA014852,PUEBLA,PUEBLA,62.1 km,62092,1 hour 12 mins,4329
8,TLSSA017605,APIZACO,TLAXCALA,PLSSA014864,PUEBLA,PUEBLA,62.1 km,62092,1 hour 12 mins,4329
9,TLSSA017605,APIZACO,TLAXCALA,PLSSA014876,PUEBLA,PUEBLA,62.1 km,62092,1 hour 12 mins,4329
10,TLSSA017605,APIZACO,TLAXCALA,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,121 km,121469,1 hour 55 mins,6922
11,TLSSA017605,APIZACO,TLAXCALA,PLSSA014893,ACATLÁN,PUEBLA,209 km,209134,3 hours 41 mins,13240
12,TLSSA017605,APIZACO,TLAXCALA,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,152 km,151599,2 hours 35 mins,9313
13,TLSSA017605,APIZACO,TLAXCALA,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,152 km,151599,2 hours 35 mins,9313
14,TLSSA017605,APIZACO,TLAXCALA,PLSSA014922,TEHUACÁN,PUEBLA,179 km,179183,2 hours 19 mins,8366
