,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,735 km,734717,9 hours 27 mins,34030
1,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,742 km,742282,9 hours 41 mins,34832
2,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,800 km,800475,10 hours 30 mins,37822
3,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,886 km,885580,12 hours 6 mins,43539
4,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017365,VILLAFLORES,CHIAPAS,800 km,799804,10 hours 26 mins,37537
5,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017370,PICHUCALCO,CHIAPAS,710 km,709813,9 hours 33 mins,34375
6,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017382,PALENQUE,CHIAPAS,807 km,806658,10 hours 36 mins,38149
7,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017394,TAPACHULA,CHIAPAS,"1,061 km",1060788,13 hours 48 mins,49650
8,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017406,TONALÁ,CHIAPAS,839 km,838617,10 hours 41 mins,38459
9,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017411,OCOSINGO,CHIAPAS,894 km,894276,12 hours 49 mins,46134
10,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017324,TUXTLA GUTIÉRREZ,CHIAPAS,"1,053 km",1052862,13 hours 31 mins,48677
11,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017336,TUXTLA GUTIÉRREZ,CHIAPAS,"1,060 km",1060426,13 hours 45 mins,49479
12,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017341,SAN CRISTÓBAL DE LAS CASAS,CHIAPAS,"1,119 km",1118619,14 hours 34 mins,52468
13,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017353,COMITÁN DE DOMÍNGUEZ,CHIAPAS,"1,204 km",1203724,16 hours 10 mins,58186
14,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017365,VILLAFLORES,CHIAPAS,"1,118 km",1117949,14 hours 30 mins,52184
15,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017370,PICHUCALCO,CHIAPAS,"1,028 km",1027957,13 hours 37 mins,49022
16,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017382,PALENQUE,CHIAPAS,"1,125 km",1124803,14 hours 40 mins,52796
17,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,CSSSA017394,TAPACHULA,CHIAPAS,"1,379 km",1378932,17 hours 52 mins,64297
