,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,292 km,292409,3 hours 53 mins,13982
1,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,439 km,438833,6 hours 6 mins,21963
2,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,223 km,222661,2 hours 57 mins,10629
3,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,202 km,201781,2 hours 52 mins,10308
4,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,290 km,289837,3 hours 48 mins,13678
5,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,282 km,281875,3 hours 31 mins,12666
6,VZSSA015015,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,282 km,281875,3 hours 31 mins,12666
7,VZSSA015032,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,282 km,281875,3 hours 31 mins,12666
8,VZSSA015044,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,282 km,281875,3 hours 31 mins,12666
9,VZSSA015056,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,282 km,281875,3 hours 31 mins,12666
10,VZSSA015073,CÓRDOBA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,313 km,313492,3 hours 59 mins,14345
11,VZSSA015090,ORIZABA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,295 km,295045,3 hours 49 mins,13763
12,VZSSA015126,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,387 km,387371,4 hours 52 mins,17536
13,VZSSA015184,COSAMALOAPAN DE CARPIO,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,456 km,455842,5 hours 38 mins,20258
14,VZSSA015201,SAN ANDRÉS TUXTLA,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,565 km,565309,6 hours 48 mins,24500
15,VZSSA015242,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,619 km,618949,7 hours 25 mins,26713
16,VZSSA015254,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,HGSSA015492,PACHUCA DE SOTO,HIDALGO,619 km,618949,7 hours 25 mins,26713
