,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,630 km,629502,9 hours 25 mins,33888
1,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,362 km,362374,6 hours 25 mins,23115
2,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,473 km,473213,7 hours 11 mins,25840
3,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,452 km,452043,6 hours 40 mins,23985
4,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,630 km,630064,9 hours 26 mins,33933
5,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,348 km,348406,5 hours 45 mins,20671
6,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,703 km,703440,13 hours 2 mins,46894
7,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,360 km,360131,6 hours 28 mins,23267
8,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,484 km,484427,7 hours 19 mins,26366
9,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,948 km,947647,13 hours 29 mins,48534
10,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,752 km,752402,10 hours 33 mins,37990
11,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,863 km,863241,11 hours 19 mins,40715
12,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,842 km,842071,10 hours 48 mins,38859
13,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,948 km,948208,13 hours 30 mins,48580
14,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,667 km,666550,9 hours 49 mins,35317
15,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,"1,093 km",1093468,17 hours 9 mins,61769
16,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,750 km,750159,10 hours 36 mins,38142
17,VZSSA014916,PÁNUCO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,874 km,874455,11 hours 27 mins,41240
18,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,731 km,731475,10 hours 20 mins,37201
19,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,536 km,536230,7 hours 24 mins,26657
20,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,647 km,647070,8 hours 10 mins,29382
21,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,626 km,625899,7 hours 39 mins,27526
22,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,732 km,732037,10 hours 21 mins,37247
23,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,450 km,450379,6 hours 40 mins,23984
24,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,877 km,877297,14 hours 1 min,50436
25,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,534 km,533988,7 hours 27 mins,26809
26,VZSSA014933,TUXPAN,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,658 km,658284,8 hours 21 mins,30060
27,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,689 km,688599,10 hours 0 mins,35979
28,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,515 km,515350,7 hours 21 mins,26488
29,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,626 km,626190,8 hours 4 mins,29061
30,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,605 km,605019,7 hours 36 mins,27358
31,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,689 km,689161,10 hours 0 mins,36025
32,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,408 km,407502,6 hours 19 mins,22763
33,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,856 km,856416,13 hours 55 mins,50115
34,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,513 km,513107,7 hours 21 mins,26488
35,VZSSA014950,POZA RICA DE HIDALGO,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,637 km,637403,8 hours 13 mins,29586
36,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,627 km,626930,9 hours 20 mins,33584
37,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,366 km,365574,6 hours 34 mins,23622
38,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,476 km,476414,7 hours 19 mins,26347
39,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,455 km,455243,6 hours 48 mins,24491
40,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,627 km,627492,9 hours 21 mins,33630
41,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,346 km,345833,5 hours 39 mins,20367
42,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,707 km,706641,13 hours 10 mins,47401
43,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014991,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,363 km,363332,6 hours 36 mins,23774
44,VZSSA014974,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA015015,TLACOLULA DE MATAMOROS,OAXACA,488 km,487628,7 hours 28 mins,26872
45,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007722,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,534 km,533604,7 hours 22 mins,26502
46,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA007734,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,OAXACA,335 km,334984,5 hours 25 mins,19493
47,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014764,SAN BARTOLO COYOTEPEC,OAXACA,446 km,445824,6 hours 10 mins,22218
48,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014916,OAXACA DE JUÁREZ,OAXACA,425 km,424653,5 hours 39 mins,20362
49,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014933,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,OAXACA,534 km,534165,7 hours 22 mins,26548
50,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014950,SAN JUAN BAUTISTA TUXTEPEC,OAXACA,253 km,252507,3 hours 41 mins,13285
51,VZSSA015003,XALAPA,VERACRUZ DE IGNACIO DE LA LLAVE,OCSSA014974,SAN PEDRO MIXTEPEC -DTO. 22 -,OAXACA,676 km,676051,12 hours 1 min,43272
