,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA006372,HUIMANGUILLO,TABASCO,635 km,635125,8 hours 20 mins,30004
1,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA006396,MACUSPANA,TABASCO,715 km,714780,9 hours 14 mins,33210
2,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016383,BALANCÁN,TABASCO,856 km,855582,11 hours 15 mins,40514
3,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016400,CÁRDENAS,TABASCO,616 km,615586,7 hours 56 mins,28577
4,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016424,CENTLA,TABASCO,744 km,743813,9 hours 33 mins,34399
5,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016453,CENTRO,TABASCO,661 km,660873,8 hours 31 mins,30633
6,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016465,CENTRO,TABASCO,661 km,660873,8 hours 31 mins,30633
7,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016494,COMALCALCO,TABASCO,654 km,654080,8 hours 43 mins,31392
8,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016511,CUNDUACÁN,TABASCO,653 km,653415,8 hours 26 mins,30356
9,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016535,EMILIANO ZAPATA,TABASCO,807 km,807450,10 hours 29 mins,37724
10,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016552,HUIMANGUILLO,TABASCO,637 km,637239,8 hours 21 mins,30046
11,VZSSA008104,MARTÍNEZ DE LA TORRE,VERACRUZ DE IGNACIO DE LA LLAVE,TCSSA016576,JALAPA,TABASCO,703 km,703259,9 hours 15 mins,33300
