,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,YNSSA013534,MÉRIDA,YUCATAN,CCSSA017345,CAMPECHE,CAMPECHE,174 km,174332,2 hours 16 mins,8151
1,YNSSA013534,MÉRIDA,YUCATAN,CCSSA017350,CAMPECHE,CAMPECHE,174 km,174332,2 hours 16 mins,8151
2,YNSSA013534,MÉRIDA,YUCATAN,CCSSA017362,ESCÁRCEGA,CAMPECHE,322 km,321787,4 hours 2 mins,14496
3,YNSSA013534,MÉRIDA,YUCATAN,CCSSA017374,CARMEN,CAMPECHE,381 km,380961,4 hours 50 mins,17420
4,YNSSA013563,VALLADOLID,YUCATAN,CCSSA017345,CAMPECHE,CAMPECHE,332 km,332446,3 hours 50 mins,13771
5,YNSSA013563,VALLADOLID,YUCATAN,CCSSA017350,CAMPECHE,CAMPECHE,332 km,332446,3 hours 50 mins,13771
6,YNSSA013563,VALLADOLID,YUCATAN,CCSSA017362,ESCÁRCEGA,CAMPECHE,480 km,479900,5 hours 35 mins,20115
7,YNSSA013563,VALLADOLID,YUCATAN,CCSSA017374,CARMEN,CAMPECHE,539 km,539074,6 hours 24 mins,23040
8,YNSSA013580,TICUL,YUCATAN,CCSSA017345,CAMPECHE,CAMPECHE,166 km,165590,2 hours 15 mins,8092
9,YNSSA013580,TICUL,YUCATAN,CCSSA017350,CAMPECHE,CAMPECHE,166 km,165590,2 hours 15 mins,8092
10,YNSSA013580,TICUL,YUCATAN,CCSSA017362,ESCÁRCEGA,CAMPECHE,313 km,313044,4 hours 1 min,14436
11,YNSSA013580,TICUL,YUCATAN,CCSSA017374,CARMEN,CAMPECHE,372 km,372218,4 hours 49 mins,17361
