,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,ZSSSA012504,GUADALUPE,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,104 km,104254,1 hour 25 mins,5094
1,ZSSSA012504,GUADALUPE,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,108 km,108150,1 hour 25 mins,5105
2,ZSSSA012504,GUADALUPE,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,69.1 km,69131,54 mins,3238
3,ZSSSA012504,GUADALUPE,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,160 km,159839,2 hours 9 mins,7759
4,ZSSSA012545,ZACATECAS,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,113 km,113240,1 hour 35 mins,5713
5,ZSSSA012545,ZACATECAS,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,117 km,117136,1 hour 35 mins,5724
6,ZSSSA012545,ZACATECAS,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,78.1 km,78117,1 hour 4 mins,3856
7,ZSSSA012545,ZACATECAS,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,169 km,168825,2 hours 20 mins,8377
8,ZSSSA012562,OJOCALIENTE,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,81.5 km,81522,1 hour 13 mins,4388
9,ZSSSA012562,OJOCALIENTE,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,85.4 km,85419,1 hour 13 mins,4399
10,ZSSSA012562,OJOCALIENTE,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,46.4 km,46400,42 mins,2531
11,ZSSSA012562,OJOCALIENTE,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,137 km,137107,1 hour 58 mins,7052
12,ZSSSA012586,FRESNILLO,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,170 km,169603,2 hours 19 mins,8338
13,ZSSSA012586,FRESNILLO,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,174 km,173500,2 hours 19 mins,8350
14,ZSSSA012586,FRESNILLO,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,134 km,134481,1 hour 48 mins,6482
15,ZSSSA012586,FRESNILLO,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,225 km,225188,3 hours 3 mins,11003
16,ZSSSA012603,RÍO GRANDE,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,247 km,246678,3 hours 4 mins,11028
17,ZSSSA012603,RÍO GRANDE,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,251 km,250575,3 hours 4 mins,11040
18,ZSSSA012603,RÍO GRANDE,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,212 km,211556,2 hours 33 mins,9172
19,ZSSSA012603,RÍO GRANDE,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,302 km,302263,3 hours 48 mins,13693
20,ZSSSA012620,JALPA,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,96.0 km,96026,1 hour 31 mins,5452
21,ZSSSA012620,JALPA,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,93.8 km,93832,1 hour 29 mins,5361
22,ZSSSA012620,JALPA,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,132 km,132440,2 hours 2 mins,7349
23,ZSSSA012620,JALPA,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,41.9 km,41861,44 mins,2617
24,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,165 km,164909,2 hours 52 mins,10304
25,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,163 km,162715,2 hours 50 mins,10213
26,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,201 km,201323,3 hours 23 mins,12201
27,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,111 km,110743,2 hours 4 mins,7469
28,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,ASSSA000931,AGUASCALIENTES,AGUASCALIENTES,370 km,369887,4 hours 24 mins,15847
29,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,ASSSA000943,AGUASCALIENTES,AGUASCALIENTES,374 km,373784,4 hours 24 mins,15858
30,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,ASSSA000955,RINCÓN DE ROMOS,AGUASCALIENTES,335 km,334764,3 hours 53 mins,13991
31,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,ASSSA000960,CALVILLO,AGUASCALIENTES,425 km,425472,5 hours 9 mins,18512
