,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,ZSSSA012504,GUADALUPE,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,284 km,283875,3 hours 36 mins,12933
1,ZSSSA012504,GUADALUPE,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,326 km,325893,3 hours 53 mins,14008
2,ZSSSA012545,ZACATECAS,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,293 km,292861,3 hours 46 mins,13551
3,ZSSSA012545,ZACATECAS,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,335 km,334879,4 hours 4 mins,14626
4,ZSSSA012562,OJOCALIENTE,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,261 km,261144,3 hours 24 mins,12226
5,ZSSSA012562,OJOCALIENTE,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,303 km,303162,3 hours 42 mins,13301
6,ZSSSA012586,FRESNILLO,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,349 km,349225,4 hours 30 mins,16177
7,ZSSSA012586,FRESNILLO,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,391 km,391243,4 hours 48 mins,17252
8,ZSSSA012603,RÍO GRANDE,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,426 km,426300,5 hours 14 mins,18867
9,ZSSSA012603,RÍO GRANDE,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,468 km,468318,5 hours 32 mins,19942
10,ZSSSA012620,JALPA,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,261 km,260727,3 hours 15 mins,11678
11,ZSSSA012620,JALPA,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,303 km,302745,3 hours 33 mins,12753
12,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,330 km,329609,4 hours 36 mins,16530
13,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,372 km,371627,4 hours 53 mins,17605
14,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,GTSSA016575,GUANAJUATO,GUANAJUATO,550 km,549508,6 hours 35 mins,23686
15,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,GTSSA016580,SALAMANCA,GUANAJUATO,592 km,591527,6 hours 53 mins,24761
