,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA003670,MEZQUITIC,JALISCO,183 km,183367,2 hours 46 mins,9972
1,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA008063,AMECA,JALISCO,415 km,415347,5 hours 14 mins,18814
2,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012771,ZAPOPAN,JALISCO,342 km,341886,4 hours 18 mins,15495
3,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012783,COLOTLÁN,JALISCO,140 km,139598,2 hours 1 min,7278
4,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012795,LAGOS DE MORENO,JALISCO,202 km,202350,2 hours 44 mins,9829
5,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,262 km,261593,3 hours 21 mins,12041
6,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012812,LA BARCA,JALISCO,341 km,340527,4 hours 25 mins,15878
7,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,494 km,493726,6 hours 5 mins,21885
8,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,459 km,458715,5 hours 26 mins,19587
9,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,522 km,521550,6 hours 51 mins,24641
10,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012853,PUERTO VALLARTA,JALISCO,660 km,659616,8 hours 51 mins,31860
11,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012865,AMECA,JALISCO,412 km,412203,5 hours 8 mins,18488
12,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012870,ZAPOPAN,JALISCO,341 km,341181,4 hours 14 mins,15214
13,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012882,GUADALAJARA,JALISCO,329 km,328894,4 hours 6 mins,14776
14,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,330 km,330146,4 hours 8 mins,14894
15,ZSSSA012504,GUADALUPE,ZACATECAS,JCSSA012906,GUADALAJARA,JALISCO,331 km,331138,4 hours 5 mins,14725
16,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA003670,MEZQUITIC,JALISCO,171 km,170741,2 hours 32 mins,9135
17,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA008063,AMECA,JALISCO,424 km,424333,5 hours 24 mins,19433
18,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012771,ZAPOPAN,JALISCO,351 km,350872,4 hours 29 mins,16114
19,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012783,COLOTLÁN,JALISCO,127 km,126972,1 hour 47 mins,6440
20,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012795,LAGOS DE MORENO,JALISCO,211 km,211336,2 hours 54 mins,10447
21,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012800,TEPATITLÁN DE MORELOS,JALISCO,271 km,270579,3 hours 31 mins,12660
22,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012812,LA BARCA,JALISCO,350 km,349513,4 hours 35 mins,16497
23,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012824,TAMAZULA DE GORDIANO,JALISCO,503 km,502712,6 hours 15 mins,22504
24,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012836,ZAPOTLÁN EL GRANDE,JALISCO,468 km,467701,5 hours 37 mins,20206
25,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012841,AUTLÁN DE NAVARRO,JALISCO,531 km,530536,7 hours 1 min,25260
26,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012853,PUERTO VALLARTA,JALISCO,669 km,668602,9 hours 1 min,32478
27,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012865,AMECA,JALISCO,421 km,421189,5 hours 18 mins,19107
28,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012870,ZAPOPAN,JALISCO,350 km,350167,4 hours 24 mins,15833
29,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012882,GUADALAJARA,JALISCO,338 km,337880,4 hours 17 mins,15395
30,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012894,SAN PEDRO TLAQUEPAQUE,JALISCO,339 km,339132,4 hours 19 mins,15513
31,ZSSSA012545,ZACATECAS,ZACATECAS,JCSSA012906,GUADALAJARA,JALISCO,340 km,340124,4 hours 16 mins,15343
32,ZSSSA012562,OJOCALIENTE,ZACATECAS,JCSSA003670,MEZQUITIC,JALISCO,220 km,220140,3 hours 16 mins,11754
33,ZSSSA012562,OJOCALIENTE,ZACATECAS,JCSSA008063,AMECA,JALISCO,393 km,392615,5 hours 2 mins,18108
