,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,180 km,180069,2 hours 11 mins,7889
1,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,189 km,189307,2 hours 12 mins,7949
2,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,332 km,332123,3 hours 58 mins,14250
3,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,191 km,190683,2 hours 17 mins,8190
4,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,347 km,346539,3 hours 51 mins,13866
5,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,466 km,466098,5 hours 15 mins,18885
6,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,566 km,566055,7 hours 8 mins,25674
7,ZSSSA012504,GUADALUPE,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,566 km,566005,7 hours 6 mins,25589
8,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,189 km,189055,2 hours 22 mins,8508
9,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,198 km,198293,2 hours 23 mins,8567
10,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,320 km,319930,3 hours 43 mins,13403
11,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,200 km,199669,2 hours 27 mins,8808
12,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,356 km,355525,4 hours 1 min,14485
13,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,475 km,475084,5 hours 25 mins,19504
14,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,575 km,575041,7 hours 18 mins,26293
15,ZSSSA012545,ZACATECAS,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,575 km,574991,7 hours 17 mins,26208
16,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,158 km,158441,2 hours 8 mins,7700
17,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,168 km,167679,2 hours 9 mins,7760
18,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,348 km,348019,4 hours 4 mins,14664
19,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,169 km,169055,2 hours 13 mins,8001
20,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,325 km,324912,3 hours 48 mins,13678
21,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,444 km,444470,5 hours 12 mins,18696
22,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,544 km,544428,7 hours 5 mins,25485
23,ZSSSA012562,OJOCALIENTE,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,544 km,544377,7 hours 3 mins,25400
24,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,246 km,245763,3 hours 6 mins,11172
25,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,255 km,255001,3 hours 7 mins,11231
26,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,319 km,318938,4 hours 1 min,14431
27,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,256 km,256377,3 hours 11 mins,11472
28,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,412 km,412233,4 hours 46 mins,17149
29,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,532 km,531792,6 hours 9 mins,22168
30,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,632 km,631749,8 hours 3 mins,28957
31,ZSSSA012586,FRESNILLO,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,632 km,631699,8 hours 1 min,28872
32,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,323 km,322838,3 hours 51 mins,13862
33,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,332 km,332076,3 hours 52 mins,13921
34,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,396 km,395916,4 hours 46 mins,17133
35,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,333 km,333452,3 hours 56 mins,14163
36,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,489 km,489308,5 hours 31 mins,19839
37,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,609 km,608867,6 hours 54 mins,24858
38,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,709 km,708824,8 hours 47 mins,31647
39,ZSSSA012603,RÍO GRANDE,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,709 km,708774,8 hours 46 mins,31562
40,ZSSSA012620,JALPA,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,260 km,260090,3 hours 45 mins,13484
41,ZSSSA012620,JALPA,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,263 km,262873,3 hours 48 mins,13661
42,ZSSSA012620,JALPA,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,454 km,454139,5 hours 46 mins,20762
43,ZSSSA012620,JALPA,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,265 km,265188,3 hours 51 mins,13843
44,ZSSSA012620,JALPA,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,431 km,431031,5 hours 30 mins,19776
45,ZSSSA012620,JALPA,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,551 km,550590,6 hours 53 mins,24795
46,ZSSSA012620,JALPA,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,651 km,650547,8 hours 46 mins,31584
47,ZSSSA012620,JALPA,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,650 km,650497,8 hours 45 mins,31499
48,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,357 km,357053,4 hours 45 mins,17124
49,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,366 km,366291,4 hours 46 mins,17184
50,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,480 km,480408,6 hours 3 mins,21757
51,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,368 km,367667,4 hours 50 mins,17425
52,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,524 km,523523,6 hours 25 mins,23102
53,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,643 km,643082,7 hours 49 mins,28120
54,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,743 km,743039,9 hours 42 mins,34910
55,ZSSSA012644,TLALTENANGO DE SÁNCHEZ ROMÁN,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,743 km,742988,9 hours 40 mins,34825
56,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA016870,SAN LUIS POTOSÍ,SAN LUIS POTOSI,371 km,370596,4 hours 42 mins,16898
57,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA016935,SAN LUIS POTOSÍ,SAN LUIS POTOSI,368 km,367564,4 hours 36 mins,16579
58,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA016952,MATEHUALA,SAN LUIS POTOSI,180 km,179531,2 hours 39 mins,9523
59,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA016976,SOLEDAD DE GRACIANO SÁNCHEZ,SAN LUIS POTOSI,369 km,369136,4 hours 41 mins,16848
60,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA016993,RIOVERDE,SAN LUIS POTOSI,408 km,408031,4 hours 58 mins,17867
61,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA017010,CIUDAD VALLES,SAN LUIS POTOSI,528 km,527589,6 hours 21 mins,22885
62,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA017034,TAMAZUNCHALE,SAN LUIS POTOSI,628 km,627547,8 hours 15 mins,29675
63,ZSSSA012661,CONCEPCIÓN DEL ORO,ZACATECAS,SPSSA017046,TAMAZUNCHALE,SAN LUIS POTOSI,627 km,627496,8 hours 13 mins,29590
