,CLUES ORIGEN,Municipio Origen,Estado Origen,CLUES DESTINO,Municipio Destino,Estado Destino,Distancia KM,Distancia M,Tiempo Horas-Min,Tiempo Seg
0,MCSSA015490,TOLUCA,MEXICO,DFSSA004936,AZCAPOTZALCO,CIUDAD DE MEXICO,61.9 km,61875,1 hour 3 mins,3764
1,MCSSA015490,TOLUCA,MEXICO,DFSSA004941,BENITO JUÁREZ,CIUDAD DE MEXICO,63.7 km,63664,1 hour 2 mins,3711
2,MCSSA015490,TOLUCA,MEXICO,DFSSA017723,IZTAPALAPA,CIUDAD DE MEXICO,77.1 km,77066,1 hour 18 mins,4684
3,MCSSA015490,TOLUCA,MEXICO,DFSSA017735,CUAUHTÉMOC,CIUDAD DE MEXICO,59.6 km,59640,1 hour 5 mins,3908
4,MCSSA015490,TOLUCA,MEXICO,GRSSA011560,TLAPEHUALA,GUERRERO,239 km,238802,4 hours 29 mins,16139
5,MCSSA015490,TOLUCA,MEXICO,GRSSA011585,IGUALA DE LA INDEPENDENCIA,GUERRERO,176 km,175843,2 hours 54 mins,10412
6,MCSSA015490,TOLUCA,MEXICO,GRSSA011602,CHILPANCINGO DE LOS BRAVO,GUERRERO,324 km,323804,3 hours 52 mins,13898
7,MCSSA015490,TOLUCA,MEXICO,GRSSA011626,CHILPANCINGO DE LOS BRAVO,GUERRERO,323 km,322624,3 hours 49 mins,13726
8,MCSSA015490,TOLUCA,MEXICO,GRSSA011643,TLAPA DE COMONFORT,GUERRERO,388 km,387706,6 hours 32 mins,23538
9,MCSSA015490,TOLUCA,MEXICO,GRSSA011655,TLAPA DE COMONFORT,GUERRERO,389 km,389427,6 hours 38 mins,23869
10,MCSSA015490,TOLUCA,MEXICO,GRSSA011672,TÉCPAN DE GALEANA,GUERRERO,524 km,524187,6 hours 31 mins,23477
11,MCSSA015490,TOLUCA,MEXICO,GRSSA011696,OMETEPEC,GUERRERO,606 km,606226,8 hours 4 mins,29027
12,MCSSA015490,TOLUCA,MEXICO,GRSSA011713,ACAPULCO DE JUÁREZ,GUERRERO,428 km,427595,5 hours 9 mins,18534
13,MCSSA015490,TOLUCA,MEXICO,GTSSA016575,GUANAJUATO,GUANAJUATO,339 km,338835,3 hours 59 mins,14345
14,MCSSA015490,TOLUCA,MEXICO,GTSSA016580,SALAMANCA,GUANAJUATO,294 km,294276,3 hours 18 mins,11859
15,MCSSA015490,TOLUCA,MEXICO,HGSSA015492,PACHUCA DE SOTO,HIDALGO,151 km,151085,2 hours 16 mins,8145
16,MCSSA015490,TOLUCA,MEXICO,MCSSA000352,ACULCO,MEXICO,102 km,101989,1 hour 36 mins,5766
17,MCSSA015490,TOLUCA,MEXICO,MCSSA002831,IXTAPAN DEL ORO,MEXICO,96.8 km,96827,1 hour 42 mins,6120
18,MCSSA015490,TOLUCA,MEXICO,MCSSA003176,JILOTEPEC,MEXICO,149 km,149344,1 hour 53 mins,6793
19,MCSSA015490,TOLUCA,MEXICO,MCSSA004832,OTZOLOAPAN,MEXICO,119 km,118760,2 hours 23 mins,8559
20,MCSSA015490,TOLUCA,MEXICO,MCSSA004996,POLOTITLÁN,MEXICO,131 km,130951,1 hour 48 mins,6468
21,MCSSA015490,TOLUCA,MEXICO,MCSSA008566,ZACAZONAPAN,MEXICO,112 km,112024,2 hours 14 mins,8046
22,MCSSA015490,TOLUCA,MEXICO,MCSSA015304,ATLACOMULCO,MEXICO,65.4 km,65424,56 mins,3389
23,MCSSA015490,TOLUCA,MEXICO,MCSSA015333,JILOTEPEC,MEXICO,94.7 km,94735,1 hour 37 mins,5805
24,MCSSA015490,TOLUCA,MEXICO,MCSSA015350,TENANGO DEL VALLE,MEXICO,28.5 km,28468,37 mins,2246
25,MCSSA015490,TOLUCA,MEXICO,MCSSA015572,TULTITLÁN,MEXICO,82.7 km,82685,1 hour 11 mins,4281
26,MCSSA015490,TOLUCA,MEXICO,MCSSA015601,OTUMBA,MEXICO,118 km,117922,1 hour 49 mins,6556
27,MCSSA015490,TOLUCA,MEXICO,MCSSA015630,AMECAMECA,MEXICO,117 km,117097,1 hour 50 mins,6622
28,MCSSA015490,TOLUCA,MEXICO,MCSSA015683,NEZAHUALCÓYOTL,MEXICO,77.4 km,77449,1 hour 26 mins,5155
29,MCSSA015490,TOLUCA,MEXICO,MCSSA018371,TOLUCA,MEXICO,7.1 km,7067,12 mins,737
30,MCSSA015490,TOLUCA,MEXICO,MNSSA005391,PURUÁNDIRO,MICHOACAN DE OCAMPO,284 km,284146,3 hours 42 mins,13338
31,MCSSA015490,TOLUCA,MEXICO,MNSSA016364,MORELIA,MICHOACAN DE OCAMPO,237 km,237270,2 hours 51 mins,10273
32,MCSSA015490,TOLUCA,MEXICO,MSSSA002234,JIUTEPEC,MORELOS,141 km,141004,2 hours 0 mins,7177
33,MCSSA015490,TOLUCA,MEXICO,MSSSA002251,CUERNAVACA,MORELOS,139 km,139317,1 hour 58 mins,7095
34,MCSSA015490,TOLUCA,MEXICO,MSSSA002275,JOJUTLA,MORELOS,175 km,175260,2 hours 32 mins,9111
35,MCSSA015490,TOLUCA,MEXICO,MSSSA002292,CUAUTLA,MORELOS,156 km,156443,2 hours 20 mins,8407
36,MCSSA015490,TOLUCA,MEXICO,PLSSA006306,CUAUTLANCINGO,PUEBLA,177 km,177311,2 hours 29 mins,8919
37,MCSSA015490,TOLUCA,MEXICO,PLSSA014794,HUAUCHINANGO,PUEBLA,230 km,230081,3 hours 0 mins,10799
38,MCSSA015490,TOLUCA,MEXICO,PLSSA014806,CHIGNAHUAPAN,PUEBLA,244 km,244232,3 hours 12 mins,11505
39,MCSSA015490,TOLUCA,MEXICO,PLSSA014811,ZACAPOAXTLA,PUEBLA,322 km,321891,4 hours 23 mins,15779
40,MCSSA015490,TOLUCA,MEXICO,PLSSA014823,ZACAPOAXTLA,PUEBLA,322 km,321891,4 hours 23 mins,15779
41,MCSSA015490,TOLUCA,MEXICO,PLSSA014835,SAN SALVADOR EL SECO,PUEBLA,255 km,254793,3 hours 32 mins,12701
42,MCSSA015490,TOLUCA,MEXICO,PLSSA014852,PUEBLA,PUEBLA,191 km,191264,2 hours 50 mins,10172
43,MCSSA015490,TOLUCA,MEXICO,PLSSA014864,PUEBLA,PUEBLA,191 km,191264,2 hours 50 mins,10172
44,MCSSA015490,TOLUCA,MEXICO,PLSSA014876,PUEBLA,PUEBLA,191 km,191264,2 hours 50 mins,10172
45,MCSSA015490,TOLUCA,MEXICO,PLSSA014881,IZÚCAR DE MATAMOROS,PUEBLA,216 km,215768,3 hours 6 mins,11177
46,MCSSA015490,TOLUCA,MEXICO,PLSSA014893,ACATLÁN,PUEBLA,303 km,303357,4 hours 45 mins,17112
47,MCSSA015490,TOLUCA,MEXICO,PLSSA014905,TEPEXI DE RODRÍGUEZ,PUEBLA,283 km,282755,4 hours 10 mins,14987
48,MCSSA015490,TOLUCA,MEXICO,PLSSA014910,TEPEXI DE RODRÍGUEZ,PUEBLA,283 km,282755,4 hours 10 mins,14987
49,MCSSA015490,TOLUCA,MEXICO,PLSSA014922,TEHUACÁN,PUEBLA,311 km,311198,3 hours 57 mins,14232
50,MCSSA015490,TOLUCA,MEXICO,TLSSA017605,APIZACO,TLAXCALA,192 km,192414,2 hours 47 mins,10035
